date,trump republican party,isPartial
2020-05-27,60,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,70,False
2020-06-01,0,False
2020-06-02,63,False
2020-06-03,0,False
2020-06-04,59,False
2020-06-05,0,False
2020-06-06,69,False
2020-06-07,69,False
2020-06-08,59,False
2020-06-09,61,False
2020-06-10,0,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,71,False
2020-06-14,0,False
2020-06-15,63,False
2020-06-16,63,False
2020-06-17,64,False
2020-06-18,64,False
2020-06-19,0,False
2020-06-20,73,False
2020-06-21,75,False
2020-06-22,66,False
2020-06-23,0,False
2020-06-24,0,False
2020-06-25,0,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,72,False
2020-06-29,65,False
2020-06-30,66,False
2020-07-01,0,False
2020-07-02,0,False
2020-07-03,0,False
2020-07-04,77,False
2020-07-05,76,False
2020-07-06,0,False
2020-07-07,100,False
2020-07-08,68,False
2020-07-09,0,False
2020-07-10,69,False
2020-07-11,76,False
