,date,score
0,2020-06-11,12.5
1,2020-06-12,10.1875
2,2020-06-13,7.0625
3,2020-06-14,16.4375
4,2020-06-15,23.1875
5,2020-06-16,16.6875
6,2020-06-17,13.0
7,2020-06-18,18.3125
8,2020-06-19,14.75
9,2020-06-20,26.875
10,2020-06-21,32.9375
11,2020-06-22,15.8125
12,2020-06-23,21.5625
13,2020-06-24,26.6875
14,2020-06-25,24.75
15,2020-06-26,27.8125
16,2020-06-27,23.75
17,2020-06-28,18.0625
18,2020-06-29,29.0
19,2020-06-30,15.5625
20,2020-07-01,21.5625
21,2020-07-02,25.5625
22,2020-07-03,26.0
23,2020-07-04,27.25
24,2020-07-05,24.25
25,2020-07-06,27.25
26,2020-07-07,20.75
27,2020-07-08,33.375
28,2020-07-09,26.1875
29,2020-07-10,21.375
30,2020-07-11,22.6875
