,date,score
0,2020-05-27,8.4375
1,2020-05-28,5.8125
2,2020-05-29,7.3125
3,2020-05-30,3.9375
4,2020-05-31,3.75
5,2020-06-01,2.9375
6,2020-06-02,13.625
7,2020-06-03,7.625
8,2020-06-04,6.3125
9,2020-06-05,5.4375
10,2020-06-06,6.1875
11,2020-06-07,5.8125
12,2020-06-08,2.9375
13,2020-06-09,0.0
14,2020-06-10,7.875
15,2020-06-11,9.125
16,2020-06-12,2.625
17,2020-06-13,3.75
18,2020-06-14,10.4375
19,2020-06-15,0.0
20,2020-06-16,9.625
21,2020-06-17,6.6875
22,2020-06-18,0.0
23,2020-06-19,3.25
24,2020-06-20,13.0
25,2020-06-21,22.0625
26,2020-06-22,12.4375
27,2020-06-23,5.625
28,2020-06-24,3.6875
29,2020-06-25,18.625
30,2020-06-26,8.9375
31,2020-06-27,9.5
32,2020-06-28,6.3125
33,2020-06-29,2.625
34,2020-06-30,9.125
35,2020-07-01,9.125
36,2020-07-02,7.4375
37,2020-07-03,8.8125
38,2020-07-04,3.6875
39,2020-07-05,12.5
40,2020-07-06,8.8125
41,2020-07-07,6.25
42,2020-07-08,3.9375
43,2020-07-09,6.0625
44,2020-07-10,6.25
45,2020-07-11,6.625
