,date,score
0,2020-05-27,4.375
1,2020-05-28,4.25
2,2020-05-29,12.3125
3,2020-05-30,6.75
4,2020-05-31,3.125
5,2020-06-01,2.9375
6,2020-06-02,7.5
7,2020-06-03,3.375
8,2020-06-04,3.1875
9,2020-06-05,4.125
10,2020-06-06,2.5625
11,2020-06-07,4.0625
12,2020-06-08,6.375
13,2020-06-09,12.5625
14,2020-06-10,3.125
15,2020-06-11,5.3125
16,2020-06-12,7.5
17,2020-06-13,21.5
18,2020-06-14,40.5625
19,2020-06-15,30.75
20,2020-06-16,19.625
21,2020-06-17,9.25
22,2020-06-18,4.3125
23,2020-06-19,6.8125
24,2020-06-20,4.25
25,2020-06-21,7.8125
26,2020-06-22,8.75
27,2020-06-23,7.5
28,2020-06-24,4.25
29,2020-06-25,3.9375
30,2020-06-26,6.25
31,2020-06-27,3.9375
32,2020-06-28,6.9375
33,2020-06-29,1.4375
34,2020-06-30,15.0625
35,2020-07-01,5.6875
36,2020-07-02,2.4375
37,2020-07-03,4.5
38,2020-07-04,6.8125
39,2020-07-05,2.8125
40,2020-07-06,7.125
41,2020-07-07,15.0625
42,2020-07-08,10.125
43,2020-07-09,3.9375
44,2020-07-10,7.4375
45,2020-07-11,5.625
