,date,score
0,2020-05-27,2.1875
1,2020-05-28,2.625
2,2020-05-29,5.5625
3,2020-05-30,11.5625
4,2020-05-31,3.5625
5,2020-06-01,3.0
6,2020-06-02,2.75
7,2020-06-03,5.5
8,2020-06-04,2.8125
9,2020-06-05,1.75
10,2020-06-06,0.0
11,2020-06-07,3.5625
12,2020-06-08,1.6875
13,2020-06-09,5.5
14,2020-06-10,15.25
15,2020-06-11,4.5
16,2020-06-12,9.0625
17,2020-06-13,11.5625
18,2020-06-14,5.0625
19,2020-06-15,11.375
20,2020-06-16,7.5625
21,2020-06-17,5.875
22,2020-06-18,9.0625
23,2020-06-19,5.6875
24,2020-06-20,3.1875
25,2020-06-21,11.75
26,2020-06-22,36.5
27,2020-06-23,29.125
28,2020-06-24,8.5625
29,2020-06-25,11.5625
30,2020-06-26,4.5
31,2020-06-27,7.875
32,2020-06-28,13.25
33,2020-06-29,2.8125
34,2020-06-30,4.75
35,2020-07-01,4.9375
36,2020-07-02,2.9375
37,2020-07-03,1.6875
38,2020-07-04,1.9375
39,2020-07-05,3.875
40,2020-07-06,3.125
41,2020-07-07,4.5
42,2020-07-08,6.125
43,2020-07-09,5.1875
44,2020-07-10,4.625
45,2020-07-11,25.3125
