,date,score
0,2020-05-27,0.0
1,2020-05-28,0.0
2,2020-05-29,0.0
3,2020-05-30,0.0
4,2020-05-31,0.0
5,2020-06-01,0.0
6,2020-06-02,47.0
7,2020-06-03,22.0
8,2020-06-04,44.5
9,2020-06-05,0.0
10,2020-06-06,26.5
11,2020-06-07,0.0
12,2020-06-08,0.0
13,2020-06-09,0.0
14,2020-06-10,0.0
15,2020-06-11,0.0
16,2020-06-12,0.0
17,2020-06-13,0.0
18,2020-06-14,28.0
19,2020-06-15,0.0
20,2020-06-16,0.0
21,2020-06-17,0.0
22,2020-06-18,0.0
23,2020-06-19,0.0
24,2020-06-20,42.0
25,2020-06-21,50.0
26,2020-06-22,0.0
27,2020-06-23,0.0
28,2020-06-24,24.5
29,2020-06-25,0.0
30,2020-06-26,0.0
31,2020-06-27,28.0
32,2020-06-28,0.0
33,2020-06-29,24.5
34,2020-06-30,0.0
35,2020-07-01,50.0
36,2020-07-02,0.0
37,2020-07-03,0.0
38,2020-07-04,30.0
39,2020-07-05,0.0
40,2020-07-06,24.5
41,2020-07-07,24.5
42,2020-07-08,25.0
43,2020-07-09,0.0
44,2020-07-10,38.5
45,2020-07-11,0.0
