date,vote obama,isPartial
2012-08-06,0,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,15,False
2012-08-11,0,False
2012-08-12,0,False
2012-08-13,0,False
2012-08-14,0,False
2012-08-15,0,False
2012-08-16,13,False
2012-08-17,13,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,13,False
2012-08-21,0,False
2012-08-22,13,False
2012-08-23,13,False
2012-08-24,0,False
2012-08-25,16,False
2012-08-26,0,False
2012-08-27,13,False
2012-08-28,0,False
2012-08-29,26,False
2012-08-30,13,False
2012-08-31,0,False
2012-09-01,0,False
2012-09-02,16,False
2012-09-03,15,False
2012-09-04,26,False
2012-09-05,19,False
2012-09-06,13,False
2012-09-07,26,False
2012-09-08,0,False
2012-09-09,0,False
2012-09-10,0,False
2012-09-11,14,False
2012-09-12,0,False
2012-09-13,0,False
2012-09-14,0,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,15,False
2012-09-18,29,False
2012-09-19,0,False
2012-09-20,15,False
2012-09-21,0,False
2012-09-22,37,False
2012-09-23,18,False
2012-09-24,0,False
2012-09-25,15,False
2012-09-26,23,False
2012-09-27,16,False
2012-09-28,33,False
2012-09-29,0,False
2012-09-30,0,False
2012-10-01,15,False
2012-10-02,15,False
2012-10-03,15,False
2012-10-04,23,False
2012-10-05,31,False
2012-10-06,19,False
2012-10-07,19,False
2012-10-08,30,False
2012-10-09,22,False
2012-10-10,0,False
2012-10-11,0,False
2012-10-12,29,False
2012-10-13,17,False
2012-10-14,35,False
2012-10-15,14,False
2012-10-16,12,False
2012-10-17,16,False
2012-10-18,11,False
2012-10-19,18,False
2012-10-20,0,False
2012-10-21,13,False
2012-10-22,0,False
2012-10-23,22,False
2012-10-24,11,False
2012-10-25,11,False
2012-10-26,46,False
2012-10-27,14,False
2012-10-28,14,False
2012-10-29,22,False
2012-10-30,18,False
2012-10-31,35,False
2012-11-01,37,False
2012-11-02,42,False
2012-11-03,25,False
2012-11-04,100,False
2012-11-05,47,False
2012-11-06,96,False
