date,vote obama,isPartial
2012-08-06,6,False
2012-08-07,3,False
2012-08-08,0,False
2012-08-09,6,False
2012-08-10,3,False
2012-08-11,3,False
2012-08-12,10,False
2012-08-13,0,False
2012-08-14,5,False
2012-08-15,2,False
2012-08-16,4,False
2012-08-17,2,False
2012-08-18,4,False
2012-08-19,0,False
2012-08-20,2,False
2012-08-21,0,False
2012-08-22,0,False
2012-08-23,5,False
2012-08-24,7,False
2012-08-25,3,False
2012-08-26,0,False
2012-08-27,2,False
2012-08-28,3,False
2012-08-29,4,False
2012-08-30,12,False
2012-08-31,6,False
2012-09-01,4,False
2012-09-02,7,False
2012-09-03,3,False
2012-09-04,3,False
2012-09-05,6,False
2012-09-06,10,False
2012-09-07,13,False
2012-09-08,10,False
2012-09-09,10,False
2012-09-10,4,False
2012-09-11,3,False
2012-09-12,4,False
2012-09-13,0,False
2012-09-14,6,False
2012-09-15,4,False
2012-09-16,0,False
2012-09-17,4,False
2012-09-18,4,False
2012-09-19,3,False
2012-09-20,7,False
2012-09-21,3,False
2012-09-22,12,False
2012-09-23,0,False
2012-09-24,9,False
2012-09-25,3,False
2012-09-26,6,False
2012-09-27,6,False
2012-09-28,6,False
2012-09-29,7,False
2012-09-30,5,False
2012-10-01,11,False
2012-10-02,3,False
2012-10-03,7,False
2012-10-04,9,False
2012-10-05,7,False
2012-10-06,12,False
2012-10-07,7,False
2012-10-08,3,False
2012-10-09,10,False
2012-10-10,19,False
2012-10-11,6,False
2012-10-12,9,False
2012-10-13,14,False
2012-10-14,3,False
2012-10-15,11,False
2012-10-16,14,False
2012-10-17,14,False
2012-10-18,7,False
2012-10-19,9,False
2012-10-20,5,False
2012-10-21,7,False
2012-10-22,3,False
2012-10-23,16,False
2012-10-24,12,False
2012-10-25,4,False
2012-10-26,10,False
2012-10-27,14,False
2012-10-28,10,False
2012-10-29,22,False
2012-10-30,8,False
2012-10-31,12,False
2012-11-01,18,False
2012-11-02,29,False
2012-11-03,27,False
2012-11-04,26,False
2012-11-05,33,False
2012-11-06,100,False
