date,vote obama,isPartial
2012-08-06,0,False
2012-08-07,8,False
2012-08-08,8,False
2012-08-09,16,False
2012-08-10,0,False
2012-08-11,9,False
2012-08-12,0,False
2012-08-13,8,False
2012-08-14,0,False
2012-08-15,8,False
2012-08-16,8,False
2012-08-17,9,False
2012-08-18,0,False
2012-08-19,10,False
2012-08-20,8,False
2012-08-21,0,False
2012-08-22,0,False
2012-08-23,8,False
2012-08-24,0,False
2012-08-25,10,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,8,False
2012-08-29,0,False
2012-08-30,0,False
2012-08-31,25,False
2012-09-01,10,False
2012-09-02,15,False
2012-09-03,9,False
2012-09-04,7,False
2012-09-05,19,False
2012-09-06,23,False
2012-09-07,8,False
2012-09-08,14,False
2012-09-09,9,False
2012-09-10,7,False
2012-09-11,7,False
2012-09-12,0,False
2012-09-13,15,False
2012-09-14,0,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,7,False
2012-09-18,7,False
2012-09-19,0,False
2012-09-20,8,False
2012-09-21,0,False
2012-09-22,0,False
2012-09-23,10,False
2012-09-24,23,False
2012-09-25,8,False
2012-09-26,7,False
2012-09-27,8,False
2012-09-28,12,False
2012-09-29,9,False
2012-09-30,9,False
2012-10-01,7,False
2012-10-02,0,False
2012-10-03,11,False
2012-10-04,27,False
2012-10-05,13,False
2012-10-06,11,False
2012-10-07,10,False
2012-10-08,8,False
2012-10-09,16,False
2012-10-10,8,False
2012-10-11,8,False
2012-10-12,17,False
2012-10-13,11,False
2012-10-14,10,False
2012-10-15,11,False
2012-10-16,15,False
2012-10-17,23,False
2012-10-18,23,False
2012-10-19,8,False
2012-10-20,11,False
2012-10-21,10,False
2012-10-22,8,False
2012-10-23,18,False
2012-10-24,11,False
2012-10-25,14,False
2012-10-26,15,False
2012-10-27,22,False
2012-10-28,9,False
2012-10-29,7,False
2012-10-30,14,False
2012-10-31,19,False
2012-11-01,15,False
2012-11-02,12,False
2012-11-03,29,False
2012-11-04,27,False
2012-11-05,54,False
2012-11-06,100,False
