date,vote obama,isPartial
2012-08-06,1,False
2012-08-07,2,False
2012-08-08,2,False
2012-08-09,2,False
2012-08-10,1,False
2012-08-11,2,False
2012-08-12,3,False
2012-08-13,2,False
2012-08-14,2,False
2012-08-15,2,False
2012-08-16,1,False
2012-08-17,2,False
2012-08-18,2,False
2012-08-19,1,False
2012-08-20,2,False
2012-08-21,1,False
2012-08-22,2,False
2012-08-23,3,False
2012-08-24,3,False
2012-08-25,2,False
2012-08-26,2,False
2012-08-27,1,False
2012-08-28,3,False
2012-08-29,3,False
2012-08-30,4,False
2012-08-31,4,False
2012-09-01,4,False
2012-09-02,3,False
2012-09-03,3,False
2012-09-04,3,False
2012-09-05,9,False
2012-09-06,9,False
2012-09-07,11,False
2012-09-08,5,False
2012-09-09,4,False
2012-09-10,4,False
2012-09-11,3,False
2012-09-12,3,False
2012-09-13,3,False
2012-09-14,3,False
2012-09-15,2,False
2012-09-16,2,False
2012-09-17,3,False
2012-09-18,4,False
2012-09-19,4,False
2012-09-20,4,False
2012-09-21,3,False
2012-09-22,3,False
2012-09-23,2,False
2012-09-24,3,False
2012-09-25,5,False
2012-09-26,4,False
2012-09-27,5,False
2012-09-28,6,False
2012-09-29,3,False
2012-09-30,4,False
2012-10-01,5,False
2012-10-02,6,False
2012-10-03,7,False
2012-10-04,13,False
2012-10-05,7,False
2012-10-06,3,False
2012-10-07,6,False
2012-10-08,5,False
2012-10-09,8,False
2012-10-10,7,False
2012-10-11,7,False
2012-10-12,4,False
2012-10-13,3,False
2012-10-14,4,False
2012-10-15,6,False
2012-10-16,8,False
2012-10-17,13,False
2012-10-18,9,False
2012-10-19,5,False
2012-10-20,5,False
2012-10-21,6,False
2012-10-22,8,False
2012-10-23,14,False
2012-10-24,9,False
2012-10-25,10,False
2012-10-26,13,False
2012-10-27,9,False
2012-10-28,6,False
2012-10-29,7,False
2012-10-30,9,False
2012-10-31,9,False
2012-11-01,11,False
2012-11-02,16,False
2012-11-03,15,False
2012-11-04,20,False
2012-11-05,40,False
2012-11-06,100,False
