date,vote romney,isPartial
2012-08-06,0,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,0,False
2012-08-11,6,False
2012-08-12,6,False
2012-08-13,5,False
2012-08-14,0,False
2012-08-15,0,False
2012-08-16,5,False
2012-08-17,5,False
2012-08-18,7,False
2012-08-19,0,False
2012-08-20,0,False
2012-08-21,5,False
2012-08-22,8,False
2012-08-23,0,False
2012-08-24,5,False
2012-08-25,13,False
2012-08-26,0,False
2012-08-27,5,False
2012-08-28,0,False
2012-08-29,5,False
2012-08-30,0,False
2012-08-31,16,False
2012-09-01,0,False
2012-09-02,6,False
2012-09-03,5,False
2012-09-04,14,False
2012-09-05,14,False
2012-09-06,0,False
2012-09-07,0,False
2012-09-08,6,False
2012-09-09,6,False
2012-09-10,0,False
2012-09-11,0,False
2012-09-12,0,False
2012-09-13,0,False
2012-09-14,9,False
2012-09-15,0,False
2012-09-16,6,False
2012-09-17,9,False
2012-09-18,6,False
2012-09-19,4,False
2012-09-20,13,False
2012-09-21,0,False
2012-09-22,5,False
2012-09-23,5,False
2012-09-24,4,False
2012-09-25,22,False
2012-09-26,5,False
2012-09-27,5,False
2012-09-28,0,False
2012-09-29,0,False
2012-09-30,0,False
2012-10-01,5,False
2012-10-02,0,False
2012-10-03,0,False
2012-10-04,13,False
2012-10-05,7,False
2012-10-06,6,False
2012-10-07,6,False
2012-10-08,5,False
2012-10-09,9,False
2012-10-10,5,False
2012-10-11,5,False
2012-10-12,10,False
2012-10-13,0,False
2012-10-14,6,False
2012-10-15,0,False
2012-10-16,4,False
2012-10-17,11,False
2012-10-18,14,False
2012-10-19,5,False
2012-10-20,6,False
2012-10-21,15,False
2012-10-22,11,False
2012-10-23,7,False
2012-10-24,4,False
2012-10-25,13,False
2012-10-26,5,False
2012-10-27,0,False
2012-10-28,16,False
2012-10-29,4,False
2012-10-30,4,False
2012-10-31,5,False
2012-11-01,14,False
2012-11-02,5,False
2012-11-03,11,False
2012-11-04,19,False
2012-11-05,39,False
2012-11-06,100,False
