date,vote hillary,isPartial
2016-08-07,2,False
2016-08-08,4,False
2016-08-09,2,False
2016-08-10,1,False
2016-08-11,2,False
2016-08-12,2,False
2016-08-13,2,False
2016-08-14,2,False
2016-08-15,1,False
2016-08-16,2,False
2016-08-17,2,False
2016-08-18,3,False
2016-08-19,0,False
2016-08-20,1,False
2016-08-21,1,False
2016-08-22,1,False
2016-08-23,2,False
2016-08-24,2,False
2016-08-25,2,False
2016-08-26,1,False
2016-08-27,2,False
2016-08-28,1,False
2016-08-29,2,False
2016-08-30,2,False
2016-08-31,1,False
2016-09-01,3,False
2016-09-02,2,False
2016-09-03,0,False
2016-09-04,2,False
2016-09-05,1,False
2016-09-06,1,False
2016-09-07,2,False
2016-09-08,3,False
2016-09-09,1,False
2016-09-10,1,False
2016-09-11,1,False
2016-09-12,2,False
2016-09-13,2,False
2016-09-14,3,False
2016-09-15,2,False
2016-09-16,1,False
2016-09-17,2,False
2016-09-18,2,False
2016-09-19,1,False
2016-09-20,6,False
2016-09-21,4,False
2016-09-22,4,False
2016-09-23,2,False
2016-09-24,3,False
2016-09-25,2,False
2016-09-26,5,False
2016-09-27,14,False
2016-09-28,7,False
2016-09-29,5,False
2016-09-30,5,False
2016-10-01,4,False
2016-10-02,3,False
2016-10-03,4,False
2016-10-04,3,False
2016-10-05,4,False
2016-10-06,3,False
2016-10-07,3,False
2016-10-08,5,False
2016-10-09,6,False
2016-10-10,10,False
2016-10-11,8,False
2016-10-12,7,False
2016-10-13,7,False
2016-10-14,5,False
2016-10-15,4,False
2016-10-16,4,False
2016-10-17,3,False
2016-10-18,7,False
2016-10-19,7,False
2016-10-20,16,False
2016-10-21,8,False
2016-10-22,8,False
2016-10-23,5,False
2016-10-24,10,False
2016-10-25,8,False
2016-10-26,10,False
2016-10-27,8,False
2016-10-28,9,False
2016-10-29,9,False
2016-10-30,6,False
2016-10-31,9,False
2016-11-01,10,False
2016-11-02,17,False
2016-11-03,16,False
2016-11-04,15,False
2016-11-05,18,False
2016-11-06,23,False
2016-11-07,44,False
2016-11-08,100,False
