date,vote trump,isPartial
2016-08-07,0,False
2016-08-08,0,False
2016-08-09,7,False
2016-08-10,7,False
2016-08-11,7,False
2016-08-12,0,False
2016-08-13,9,False
2016-08-14,0,False
2016-08-15,0,False
2016-08-16,7,False
2016-08-17,15,False
2016-08-18,15,False
2016-08-19,0,False
2016-08-20,17,False
2016-08-21,9,False
2016-08-22,0,False
2016-08-23,0,False
2016-08-24,7,False
2016-08-25,0,False
2016-08-26,7,False
2016-08-27,8,False
2016-08-28,0,False
2016-08-29,6,False
2016-08-30,6,False
2016-08-31,6,False
2016-09-01,0,False
2016-09-02,0,False
2016-09-03,0,False
2016-09-04,0,False
2016-09-05,0,False
2016-09-06,0,False
2016-09-07,0,False
2016-09-08,6,False
2016-09-09,0,False
2016-09-10,0,False
2016-09-11,8,False
2016-09-12,6,False
2016-09-13,6,False
2016-09-14,0,False
2016-09-15,0,False
2016-09-16,0,False
2016-09-17,0,False
2016-09-18,8,False
2016-09-19,6,False
2016-09-20,6,False
2016-09-21,6,False
2016-09-22,7,False
2016-09-23,7,False
2016-09-24,0,False
2016-09-25,0,False
2016-09-26,19,False
2016-09-27,6,False
2016-09-28,10,False
2016-09-29,6,False
2016-09-30,13,False
2016-10-01,8,False
2016-10-02,0,False
2016-10-03,9,False
2016-10-04,6,False
2016-10-05,6,False
2016-10-06,0,False
2016-10-07,0,False
2016-10-08,16,False
2016-10-09,15,False
2016-10-10,19,False
2016-10-11,13,False
2016-10-12,6,False
2016-10-13,13,False
2016-10-14,14,False
2016-10-15,16,False
2016-10-16,0,False
2016-10-17,6,False
2016-10-18,10,False
2016-10-19,0,False
2016-10-20,26,False
2016-10-21,0,False
2016-10-22,8,False
2016-10-23,32,False
2016-10-24,19,False
2016-10-25,6,False
2016-10-26,10,False
2016-10-27,10,False
2016-10-28,10,False
2016-10-29,8,False
2016-10-30,8,False
2016-10-31,19,False
2016-11-01,23,False
2016-11-02,16,False
2016-11-03,15,False
2016-11-04,7,False
2016-11-05,20,False
2016-11-06,34,False
2016-11-07,36,False
2016-11-08,100,False
