date,vote trump,isPartial
2020-05-27,48,False
2020-05-28,24,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,29,False
2020-06-01,50,False
2020-06-02,25,False
2020-06-03,47,False
2020-06-04,24,False
2020-06-05,48,False
2020-06-06,29,False
2020-06-07,0,False
2020-06-08,59,False
2020-06-09,36,False
2020-06-10,48,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,60,False
2020-06-14,30,False
2020-06-15,51,False
2020-06-16,100,False
2020-06-17,0,False
2020-06-18,26,False
2020-06-19,26,False
2020-06-20,30,False
2020-06-21,44,False
2020-06-22,25,False
2020-06-23,49,False
2020-06-24,26,False
2020-06-25,26,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,30,False
2020-06-29,26,False
2020-06-30,0,False
