date,vote trump,isPartial
2020-05-27,43,False
2020-05-28,0,False
2020-05-29,28,False
2020-05-30,24,False
2020-05-31,32,False
2020-06-01,14,False
2020-06-02,100,False
2020-06-03,27,False
2020-06-04,35,False
2020-06-05,14,False
2020-06-06,25,False
2020-06-07,17,False
2020-06-08,14,False
2020-06-09,29,False
2020-06-10,14,False
2020-06-11,22,False
2020-06-12,30,False
2020-06-13,0,False
2020-06-14,69,False
2020-06-15,45,False
2020-06-16,15,False
2020-06-17,15,False
2020-06-18,15,False
2020-06-19,46,False
2020-06-20,17,False
2020-06-21,17,False
2020-06-22,30,False
2020-06-23,0,False
2020-06-24,46,False
2020-06-25,0,False
2020-06-26,0,False
2020-06-27,25,False
2020-06-28,17,False
2020-06-29,15,False
2020-06-30,47,False
