date,vote trump,isPartial
2020-05-27,0,False
2020-05-28,52,False
2020-05-29,54,False
2020-05-30,0,False
2020-05-31,32,False
2020-06-01,27,False
2020-06-02,27,False
2020-06-03,39,False
2020-06-04,50,False
2020-06-05,51,False
2020-06-06,60,False
2020-06-07,31,False
2020-06-08,25,False
2020-06-09,39,False
2020-06-10,68,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,50,False
2020-06-14,33,False
2020-06-15,27,False
2020-06-16,40,False
2020-06-17,27,False
2020-06-18,42,False
2020-06-19,57,False
2020-06-20,32,False
2020-06-21,100,False
2020-06-22,56,False
2020-06-23,28,False
2020-06-24,0,False
2020-06-25,0,False
2020-06-26,60,False
2020-06-27,0,False
2020-06-28,32,False
2020-06-29,0,False
2020-06-30,0,False
