date,vote trump,isPartial
2020-05-27,48,False
2020-05-28,43,False
2020-05-29,47,False
2020-05-30,45,False
2020-05-31,51,False
2020-06-01,49,False
2020-06-02,99,False
2020-06-03,97,False
2020-06-04,100,False
2020-06-05,76,False
2020-06-06,50,False
2020-06-07,67,False
2020-06-08,70,False
2020-06-09,68,False
2020-06-10,60,False
2020-06-11,52,False
2020-06-12,39,False
2020-06-13,43,False
2020-06-14,46,False
2020-06-15,47,False
2020-06-16,41,False
2020-06-17,33,False
2020-06-18,61,False
2020-06-19,55,False
2020-06-20,51,False
2020-06-21,64,False
2020-06-22,71,False
2020-06-23,69,False
2020-06-24,67,False
2020-06-25,39,False
2020-06-26,52,False
2020-06-27,58,False
2020-06-28,59,False
2020-06-29,48,False
2020-06-30,57,False
