date,trump immigration,isPartial
2016-08-07,11,False
2016-08-08,9,False
2016-08-09,9,False
2016-08-10,0,False
2016-08-11,10,False
2016-08-12,0,False
2016-08-13,11,False
2016-08-14,11,False
2016-08-15,0,False
2016-08-16,15,False
2016-08-17,0,False
2016-08-18,20,False
2016-08-19,10,False
2016-08-20,11,False
2016-08-21,11,False
2016-08-22,10,False
2016-08-23,10,False
2016-08-24,14,False
2016-08-25,26,False
2016-08-26,63,False
2016-08-27,20,False
2016-08-28,25,False
2016-08-29,17,False
2016-08-30,17,False
2016-08-31,51,False
2016-09-01,100,False
2016-09-02,22,False
2016-09-03,10,False
2016-09-04,10,False
2016-09-05,14,False
2016-09-06,17,False
2016-09-07,18,False
2016-09-08,13,False
2016-09-09,9,False
2016-09-10,10,False
2016-09-11,0,False
2016-09-12,9,False
2016-09-13,9,False
2016-09-14,9,False
2016-09-15,0,False
2016-09-16,9,False
2016-09-17,10,False
2016-09-18,0,False
2016-09-19,9,False
2016-09-20,9,False
2016-09-21,0,False
2016-09-22,13,False
2016-09-23,0,False
2016-09-24,0,False
2016-09-25,10,False
2016-09-26,9,False
2016-09-27,17,False
2016-09-28,0,False
2016-09-29,9,False
2016-09-30,0,False
2016-10-01,0,False
2016-10-02,14,False
2016-10-03,8,False
2016-10-04,0,False
2016-10-05,8,False
2016-10-06,0,False
2016-10-07,9,False
2016-10-08,0,False
2016-10-09,0,False
2016-10-10,0,False
2016-10-11,0,False
2016-10-12,9,False
2016-10-13,9,False
2016-10-14,18,False
2016-10-15,0,False
2016-10-16,0,False
2016-10-17,9,False
2016-10-18,9,False
2016-10-19,9,False
2016-10-20,22,False
2016-10-21,9,False
2016-10-22,0,False
2016-10-23,31,False
2016-10-24,0,False
2016-10-25,17,False
2016-10-26,9,False
2016-10-27,9,False
2016-10-28,26,False
2016-10-29,10,False
2016-10-30,0,False
2016-10-31,26,False
2016-11-01,13,False
2016-11-02,25,False
2016-11-03,12,False
2016-11-04,22,False
2016-11-05,0,False
2016-11-06,24,False
2016-11-07,17,False
2016-11-08,8,False
