date,trump immigration,isPartial
2016-08-07,8,False
2016-08-08,5,False
2016-08-09,3,False
2016-08-10,2,False
2016-08-11,2,False
2016-08-12,3,False
2016-08-13,3,False
2016-08-14,2,False
2016-08-15,3,False
2016-08-16,4,False
2016-08-17,4,False
2016-08-18,3,False
2016-08-19,6,False
2016-08-20,2,False
2016-08-21,5,False
2016-08-22,9,False
2016-08-23,11,False
2016-08-24,13,False
2016-08-25,18,False
2016-08-26,18,False
2016-08-27,9,False
2016-08-28,11,False
2016-08-29,9,False
2016-08-30,10,False
2016-08-31,35,False
2016-09-01,100,False
2016-09-02,24,False
2016-09-03,13,False
2016-09-04,7,False
2016-09-05,6,False
2016-09-06,6,False
2016-09-07,5,False
2016-09-08,5,False
2016-09-09,2,False
2016-09-10,2,False
2016-09-11,3,False
2016-09-12,3,False
2016-09-13,4,False
2016-09-14,5,False
2016-09-15,3,False
2016-09-16,4,False
2016-09-17,1,False
2016-09-18,2,False
2016-09-19,4,False
2016-09-20,4,False
2016-09-21,5,False
2016-09-22,4,False
2016-09-23,4,False
2016-09-24,1,False
2016-09-25,2,False
2016-09-26,6,False
2016-09-27,10,False
2016-09-28,4,False
2016-09-29,4,False
2016-09-30,5,False
2016-10-01,4,False
2016-10-02,3,False
2016-10-03,4,False
2016-10-04,4,False
2016-10-05,7,False
2016-10-06,6,False
2016-10-07,2,False
2016-10-08,2,False
2016-10-09,3,False
2016-10-10,5,False
2016-10-11,5,False
2016-10-12,5,False
2016-10-13,6,False
2016-10-14,4,False
2016-10-15,3,False
2016-10-16,3,False
2016-10-17,5,False
2016-10-18,4,False
2016-10-19,6,False
2016-10-20,8,False
2016-10-21,4,False
2016-10-22,3,False
2016-10-23,3,False
2016-10-24,6,False
2016-10-25,7,False
2016-10-26,6,False
2016-10-27,7,False
2016-10-28,5,False
2016-10-29,3,False
2016-10-30,4,False
2016-10-31,4,False
2016-11-01,5,False
2016-11-02,6,False
2016-11-03,6,False
2016-11-04,8,False
2016-11-05,6,False
2016-11-06,6,False
2016-11-07,10,False
2016-11-08,10,False
