date,biden immigration,isPartial
2020-05-27,46,False
2020-05-28,0,False
2020-05-29,32,False
2020-05-30,18,False
2020-05-31,0,False
2020-06-01,16,False
2020-06-02,16,False
2020-06-03,45,False
2020-06-04,23,False
2020-06-05,15,False
2020-06-06,18,False
2020-06-07,18,False
2020-06-08,15,False
2020-06-09,15,False
2020-06-10,16,False
2020-06-11,16,False
2020-06-12,50,False
2020-06-13,19,False
2020-06-14,19,False
2020-06-15,49,False
2020-06-16,0,False
2020-06-17,16,False
2020-06-18,32,False
2020-06-19,34,False
2020-06-20,19,False
2020-06-21,58,False
2020-06-22,100,False
2020-06-23,49,False
2020-06-24,33,False
2020-06-25,25,False
2020-06-26,34,False
2020-06-27,38,False
2020-06-28,19,False
2020-06-29,17,False
2020-06-30,25,False
