date,obama economy,isPartial
2012-08-06,8,False
2012-08-07,6,False
2012-08-08,6,False
2012-08-09,8,False
2012-08-10,11,False
2012-08-11,10,False
2012-08-12,16,False
2012-08-13,12,False
2012-08-14,8,False
2012-08-15,12,False
2012-08-16,4,False
2012-08-17,13,False
2012-08-18,11,False
2012-08-19,16,False
2012-08-20,19,False
2012-08-21,4,False
2012-08-22,6,False
2012-08-23,19,False
2012-08-24,20,False
2012-08-25,23,False
2012-08-26,5,False
2012-08-27,18,False
2012-08-28,16,False
2012-08-29,29,False
2012-08-30,17,False
2012-08-31,24,False
2012-09-01,10,False
2012-09-02,26,False
2012-09-03,23,False
2012-09-04,18,False
2012-09-05,46,False
2012-09-06,69,False
2012-09-07,64,False
2012-09-08,24,False
2012-09-09,20,False
2012-09-10,16,False
2012-09-11,28,False
2012-09-12,22,False
2012-09-13,30,False
2012-09-14,35,False
2012-09-15,15,False
2012-09-16,12,False
2012-09-17,12,False
2012-09-18,27,False
2012-09-19,28,False
2012-09-20,45,False
2012-09-21,38,False
2012-09-22,22,False
2012-09-23,17,False
2012-09-24,43,False
2012-09-25,35,False
2012-09-26,26,False
2012-09-27,28,False
2012-09-28,17,False
2012-09-29,10,False
2012-09-30,17,False
2012-10-01,20,False
2012-10-02,25,False
2012-10-03,31,False
2012-10-04,75,False
2012-10-05,33,False
2012-10-06,15,False
2012-10-07,17,False
2012-10-08,37,False
2012-10-09,35,False
2012-10-10,33,False
2012-10-11,23,False
2012-10-12,40,False
2012-10-13,17,False
2012-10-14,19,False
2012-10-15,24,False
2012-10-16,36,False
2012-10-17,100,False
2012-10-18,54,False
2012-10-19,46,False
2012-10-20,39,False
2012-10-21,31,False
2012-10-22,53,False
2012-10-23,79,False
2012-10-24,67,False
2012-10-25,61,False
2012-10-26,49,False
2012-10-27,17,False
2012-10-28,28,False
2012-10-29,53,False
2012-10-30,54,False
2012-10-31,63,False
2012-11-01,49,False
2012-11-02,73,False
2012-11-03,26,False
2012-11-04,37,False
2012-11-05,77,False
2012-11-06,80,False
