date,biden economy,isPartial
2020-05-27,51,False
2020-05-28,20,False
2020-05-29,21,False
2020-05-30,0,False
2020-05-31,24,False
2020-06-01,41,False
2020-06-02,31,False
2020-06-03,0,False
2020-06-04,39,False
2020-06-05,69,False
2020-06-06,23,False
2020-06-07,48,False
2020-06-08,39,False
2020-06-09,39,False
2020-06-10,21,False
2020-06-11,30,False
2020-06-12,43,False
2020-06-13,0,False
2020-06-14,24,False
2020-06-15,21,False
2020-06-16,21,False
2020-06-17,42,False
2020-06-18,42,False
2020-06-19,22,False
2020-06-20,24,False
2020-06-21,100,False
2020-06-22,65,False
2020-06-23,21,False
2020-06-24,22,False
2020-06-25,0,False
2020-06-26,67,False
2020-06-27,25,False
2020-06-28,24,False
2020-06-29,65,False
2020-06-30,55,False
