date,trump environment,isPartial
2016-08-07,0,False
2016-08-08,0,False
2016-08-09,17,False
2016-08-10,17,False
2016-08-11,0,False
2016-08-12,0,False
2016-08-13,0,False
2016-08-14,0,False
2016-08-15,0,False
2016-08-16,17,False
2016-08-17,0,False
2016-08-18,17,False
2016-08-19,0,False
2016-08-20,60,False
2016-08-21,0,False
2016-08-22,17,False
2016-08-23,0,False
2016-08-24,17,False
2016-08-25,0,False
2016-08-26,16,False
2016-08-27,0,False
2016-08-28,0,False
2016-08-29,15,False
2016-08-30,15,False
2016-08-31,0,False
2016-09-01,0,False
2016-09-02,16,False
2016-09-03,0,False
2016-09-04,19,False
2016-09-05,0,False
2016-09-06,0,False
2016-09-07,15,False
2016-09-08,15,False
2016-09-09,0,False
2016-09-10,0,False
2016-09-11,17,False
2016-09-12,30,False
2016-09-13,15,False
2016-09-14,15,False
2016-09-15,0,False
2016-09-16,16,False
2016-09-17,27,False
2016-09-18,0,False
2016-09-19,15,False
2016-09-20,45,False
2016-09-21,37,False
2016-09-22,15,False
2016-09-23,15,False
2016-09-24,18,False
2016-09-25,0,False
2016-09-26,44,False
2016-09-27,22,False
2016-09-28,15,False
2016-09-29,30,False
2016-09-30,46,False
2016-10-01,18,False
2016-10-02,35,False
2016-10-03,29,False
2016-10-04,15,False
2016-10-05,44,False
2016-10-06,0,False
2016-10-07,46,False
2016-10-08,36,False
2016-10-09,0,False
2016-10-10,46,False
2016-10-11,38,False
2016-10-12,30,False
2016-10-13,45,False
2016-10-14,16,False
2016-10-15,18,False
2016-10-16,18,False
2016-10-17,30,False
2016-10-18,22,False
2016-10-19,23,False
2016-10-20,15,False
2016-10-21,31,False
2016-10-22,37,False
2016-10-23,36,False
2016-10-24,44,False
2016-10-25,44,False
2016-10-26,29,False
2016-10-27,37,False
2016-10-28,78,False
2016-10-29,18,False
2016-10-30,0,False
2016-10-31,44,False
2016-11-01,68,False
2016-11-02,87,False
2016-11-03,49,False
2016-11-04,68,False
2016-11-05,18,False
2016-11-06,69,False
2016-11-07,100,False
2016-11-08,69,False
