date,hillary health,isPartial
2016-08-07,9,False
2016-08-08,11,False
2016-08-09,25,False
2016-08-10,18,False
2016-08-11,25,False
2016-08-12,15,False
2016-08-13,8,False
2016-08-14,8,False
2016-08-15,14,False
2016-08-16,7,False
2016-08-17,7,False
2016-08-18,8,False
2016-08-19,15,False
2016-08-20,13,False
2016-08-21,8,False
2016-08-22,25,False
2016-08-23,26,False
2016-08-24,14,False
2016-08-25,7,False
2016-08-26,7,False
2016-08-27,40,False
2016-08-28,31,False
2016-08-29,23,False
2016-08-30,16,False
2016-08-31,13,False
2016-09-01,7,False
2016-09-02,7,False
2016-09-03,0,False
2016-09-04,8,False
2016-09-05,11,False
2016-09-06,13,False
2016-09-07,6,False
2016-09-08,12,False
2016-09-09,0,False
2016-09-10,0,False
2016-09-11,100,False
2016-09-12,90,False
2016-09-13,50,False
2016-09-14,38,False
2016-09-15,32,False
2016-09-16,23,False
2016-09-17,15,False
2016-09-18,10,False
2016-09-19,12,False
2016-09-20,6,False
2016-09-21,9,False
2016-09-22,6,False
2016-09-23,7,False
2016-09-24,12,False
2016-09-25,7,False
2016-09-26,12,False
2016-09-27,19,False
2016-09-28,13,False
2016-09-29,6,False
2016-09-30,6,False
2016-10-01,0,False
2016-10-02,0,False
2016-10-03,0,False
2016-10-04,0,False
2016-10-05,6,False
2016-10-06,6,False
2016-10-07,7,False
2016-10-08,7,False
2016-10-09,0,False
2016-10-10,13,False
2016-10-11,6,False
2016-10-12,6,False
2016-10-13,13,False
2016-10-14,0,False
2016-10-15,8,False
2016-10-16,11,False
2016-10-17,12,False
2016-10-18,6,False
2016-10-19,6,False
2016-10-20,9,False
2016-10-21,6,False
2016-10-22,8,False
2016-10-23,7,False
2016-10-24,12,False
2016-10-25,0,False
2016-10-26,6,False
2016-10-27,0,False
2016-10-28,0,False
2016-10-29,0,False
2016-10-30,7,False
2016-10-31,6,False
2016-11-01,6,False
2016-11-02,9,False
2016-11-03,6,False
2016-11-04,13,False
2016-11-05,0,False
2016-11-06,0,False
2016-11-07,6,False
2016-11-08,9,False
