date,trump health,isPartial
2016-08-07,0,False
2016-08-08,0,False
2016-08-09,0,False
2016-08-10,46,False
2016-08-11,0,False
2016-08-12,0,False
2016-08-13,0,False
2016-08-14,0,False
2016-08-15,68,False
2016-08-16,46,False
2016-08-17,48,False
2016-08-18,49,False
2016-08-19,0,False
2016-08-20,0,False
2016-08-21,55,False
2016-08-22,0,False
2016-08-23,47,False
2016-08-24,46,False
2016-08-25,43,False
2016-08-26,45,False
2016-08-27,52,False
2016-08-28,51,False
2016-08-29,42,False
2016-08-30,42,False
2016-08-31,0,False
2016-09-01,0,False
2016-09-02,0,False
2016-09-03,48,False
2016-09-04,0,False
2016-09-05,45,False
2016-09-06,0,False
2016-09-07,0,False
2016-09-08,0,False
2016-09-09,42,False
2016-09-10,0,False
2016-09-11,0,False
2016-09-12,100,False
2016-09-13,41,False
2016-09-14,85,False
2016-09-15,41,False
2016-09-16,43,False
2016-09-17,49,False
2016-09-18,0,False
2016-09-19,79,False
2016-09-20,0,False
2016-09-21,0,False
2016-09-22,0,False
2016-09-23,44,False
2016-09-24,0,False
2016-09-25,0,False
2016-09-26,0,False
2016-09-27,0,False
2016-09-28,40,False
2016-09-29,40,False
2016-09-30,0,False
2016-10-01,49,False
2016-10-02,0,False
2016-10-03,60,False
2016-10-04,40,False
2016-10-05,81,False
2016-10-06,41,False
2016-10-07,0,False
2016-10-08,47,False
2016-10-09,0,False
2016-10-10,0,False
2016-10-11,0,False
2016-10-12,41,False
2016-10-13,83,False
2016-10-14,0,False
2016-10-15,51,False
2016-10-16,48,False
2016-10-17,40,False
2016-10-18,0,False
2016-10-19,41,False
2016-10-20,0,False
2016-10-21,0,False
2016-10-22,51,False
2016-10-23,0,False
2016-10-24,39,False
2016-10-25,40,False
2016-10-26,60,False
2016-10-27,39,False
2016-10-28,0,False
2016-10-29,0,False
2016-10-30,0,False
2016-10-31,39,False
2016-11-01,0,False
2016-11-02,39,False
2016-11-03,38,False
2016-11-04,0,False
2016-11-05,49,False
2016-11-06,47,False
2016-11-07,0,False
2016-11-08,38,False
