date,biden health,isPartial
2020-05-27,33,False
2020-05-28,19,False
2020-05-29,29,False
2020-05-30,27,False
2020-05-31,22,False
2020-06-01,33,False
2020-06-02,44,False
2020-06-03,23,False
2020-06-04,32,False
2020-06-05,28,False
2020-06-06,33,False
2020-06-07,22,False
2020-06-08,46,False
2020-06-09,23,False
2020-06-10,38,False
2020-06-11,14,False
2020-06-12,50,False
2020-06-13,23,False
2020-06-14,51,False
2020-06-15,59,False
2020-06-16,48,False
2020-06-17,30,False
2020-06-18,19,False
2020-06-19,46,False
2020-06-20,73,False
2020-06-21,93,False
2020-06-22,50,False
2020-06-23,25,False
2020-06-24,45,False
2020-06-25,100,False
2020-06-26,56,False
2020-06-27,91,False
2020-06-28,50,False
2020-06-29,41,False
2020-06-30,97,False
