date,trump health,isPartial
2020-05-27,17,False
2020-05-28,18,False
2020-05-29,37,False
2020-05-30,70,False
2020-05-31,20,False
2020-06-01,35,False
2020-06-02,36,False
2020-06-03,17,False
2020-06-04,0,False
2020-06-05,35,False
2020-06-06,19,False
2020-06-07,20,False
2020-06-08,67,False
2020-06-09,52,False
2020-06-10,0,False
2020-06-11,18,False
2020-06-12,19,False
2020-06-13,82,False
2020-06-14,93,False
2020-06-15,100,False
2020-06-16,54,False
2020-06-17,55,False
2020-06-18,55,False
2020-06-19,19,False
2020-06-20,63,False
2020-06-21,21,False
2020-06-22,28,False
2020-06-23,37,False
2020-06-24,0,False
2020-06-25,18,False
2020-06-26,38,False
2020-06-27,63,False
2020-06-28,21,False
2020-06-29,57,False
2020-06-30,19,False
