date,trump health,isPartial
2020-05-27,16,False
2020-05-28,16,False
2020-05-29,49,False
2020-05-30,57,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,0,False
2020-06-03,16,False
2020-06-04,48,False
2020-06-05,16,False
2020-06-06,0,False
2020-06-07,20,False
2020-06-08,16,False
2020-06-09,16,False
2020-06-10,16,False
2020-06-11,0,False
2020-06-12,17,False
2020-06-13,20,False
2020-06-14,100,False
2020-06-15,51,False
2020-06-16,66,False
2020-06-17,0,False
2020-06-18,17,False
2020-06-19,18,False
2020-06-20,29,False
2020-06-21,20,False
2020-06-22,25,False
2020-06-23,16,False
2020-06-24,17,False
2020-06-25,35,False
2020-06-26,17,False
2020-06-27,19,False
2020-06-28,19,False
2020-06-29,17,False
2020-06-30,0,False
