,year,state_fips,state,economy,environment,health,immigration
0,2020,-1,US,JB,JB,JB,DT
1,2020,0,US-AL,JB,JB,JB,DT
2,2020,1,US-AK,JB,JB,JB,DT
3,2020,2,US-AZ,DT,DT,DT,DT
4,2020,3,US-AR,JB,JB,JB,DT
5,2020,4,US-CA,JB,JB,JB,DT
6,2020,5,US-CO,DT,DT,DT,DT
7,2020,6,US-CT,DT,DT,DT,DT
8,2020,7,US-DE,JB,JB,JB,DT
9,2020,8,US-DC,JB,JB,JB,DT
10,2020,9,US-FL,DT,DT,DT,DT
11,2020,10,US-GA,DT,DT,DT,DT
12,2020,11,US-HI,JB,JB,JB,JB
13,2020,12,US-ID,JB,JB,JB,JB
14,2020,13,US-IL,DT,DT,DT,DT
15,2020,14,US-IN,DT,DT,DT,DT
16,2020,15,US-IA,JB,JB,JB,DT
17,2020,16,US-KS,JB,JB,JB,DT
18,2020,17,US-KY,JB,JB,JB,JB
19,2020,18,US-LA,JB,JB,JB,DT
20,2020,19,US-ME,JB,JB,JB,DT
21,2020,20,US-MD,DT,DT,DT,DT
22,2020,21,US-MA,DT,DT,DT,DT
23,2020,22,US-MI,DT,DT,DT,DT
24,2020,23,US-MN,DT,DT,DT,DT
25,2020,24,US-MS,JB,JB,JB,JB
26,2020,25,US-MO,DT,DT,DT,DT
27,2020,26,US-MT,JB,JB,JB,DT
28,2020,27,US-NE,JB,JB,JB,DT
29,2020,28,US-NV,JB,DT,DT,DT
30,2020,29,US-NH,JB,JB,JB,JB
31,2020,30,US-NJ,DT,DT,DT,DT
32,2020,31,US-NM,JB,JB,JB,DT
33,2020,32,US-NY,JB,JB,JB,DT
34,2020,33,US-NC,DT,DT,DT,DT
35,2020,34,US-ND,JB,JB,JB,DT
36,2020,35,US-OH,DT,DT,JB,DT
37,2020,36,US-OK,DT,DT,DT,DT
38,2020,37,US-OR,JB,JB,JB,DT
39,2020,38,US-PA,DT,DT,DT,DT
40,2020,39,US-RI,JB,JB,JB,DT
41,2020,40,US-SC,DT,DT,DT,DT
42,2020,41,US-SD,JB,JB,JB,JB
43,2020,42,US-TN,DT,DT,DT,DT
44,2020,43,US-TX,DT,DT,DT,DT
45,2020,44,US-UT,JB,JB,JB,DT
46,2020,45,US-VT,JB,JB,JB,JB
47,2020,46,US-VA,DT,DT,DT,DT
48,2020,47,US-WA,JB,JB,JB,DT
49,2020,48,US-WV,JB,JB,JB,DT
50,2020,49,US-WI,DT,DT,DT,DT
51,2020,50,US-WY,JB,JB,JB,JB
0,2016,-1,US,HC,HC,HC,HC
1,2016,0,US-AL,DT,DT,DT,DT
2,2016,1,US-AK,HC,HC,HC,HC
3,2016,2,US-AZ,DT,DT,DT,DT
4,2016,3,US-AR,DT,DT,DT,DT
5,2016,4,US-CA,HC,HC,HC,HC
6,2016,5,US-CO,HC,HC,HC,DT
7,2016,6,US-CT,DT,DT,DT,DT
8,2016,7,US-DE,HC,HC,HC,HC
9,2016,8,US-DC,HC,HC,HC,HC
10,2016,9,US-FL,HC,HC,HC,HC
11,2016,10,US-GA,HC,HC,HC,HC
12,2016,11,US-HI,HC,HC,HC,HC
13,2016,12,US-ID,HC,HC,HC,HC
14,2016,13,US-IL,HC,HC,HC,HC
15,2016,14,US-IN,HC,HC,DT,DT
16,2016,15,US-IA,DT,DT,DT,DT
17,2016,16,US-KS,DT,DT,DT,DT
