date,hillary immigration,isPartial
2016-08-07,0,False
2016-08-08,0,False
2016-08-09,0,False
2016-08-10,0,False
2016-08-11,0,False
2016-08-12,0,False
2016-08-13,0,False
2016-08-14,31,False
2016-08-15,0,False
2016-08-16,27,False
2016-08-17,0,False
2016-08-18,0,False
2016-08-19,0,False
2016-08-20,30,False
2016-08-21,0,False
2016-08-22,27,False
2016-08-23,27,False
2016-08-24,26,False
2016-08-25,0,False
2016-08-26,25,False
2016-08-27,28,False
2016-08-28,0,False
2016-08-29,36,False
2016-08-30,24,False
2016-08-31,24,False
2016-09-01,0,False
2016-09-02,25,False
2016-09-03,0,False
2016-09-04,29,False
2016-09-05,0,False
2016-09-06,0,False
2016-09-07,24,False
2016-09-08,0,False
2016-09-09,25,False
2016-09-10,28,False
2016-09-11,28,False
2016-09-12,24,False
2016-09-13,0,False
2016-09-14,24,False
2016-09-15,24,False
2016-09-16,49,False
2016-09-17,28,False
2016-09-18,27,False
2016-09-19,0,False
2016-09-20,35,False
2016-09-21,24,False
2016-09-22,24,False
2016-09-23,25,False
2016-09-24,29,False
2016-09-25,0,False
2016-09-26,0,False
2016-09-27,24,False
2016-09-28,0,False
2016-09-29,24,False
2016-09-30,25,False
2016-10-01,0,False
2016-10-02,0,False
2016-10-03,0,False
2016-10-04,47,False
2016-10-05,0,False
2016-10-06,0,False
2016-10-07,25,False
2016-10-08,0,False
2016-10-09,29,False
2016-10-10,0,False
2016-10-11,24,False
2016-10-12,24,False
2016-10-13,0,False
2016-10-14,25,False
2016-10-15,0,False
2016-10-16,0,False
2016-10-17,48,False
2016-10-18,24,False
2016-10-19,37,False
2016-10-20,24,False
2016-10-21,25,False
2016-10-22,0,False
2016-10-23,0,False
2016-10-24,47,False
2016-10-25,47,False
2016-10-26,47,False
2016-10-27,24,False
2016-10-28,25,False
2016-10-29,0,False
2016-10-30,29,False
2016-10-31,48,False
2016-11-01,25,False
2016-11-02,23,False
2016-11-03,23,False
2016-11-04,46,False
2016-11-05,27,False
2016-11-06,54,False
2016-11-07,100,False
2016-11-08,86,False
