date,trump immigration,isPartial
2020-05-27,0,False
2020-05-28,8,False
2020-05-29,15,False
2020-05-30,24,False
2020-05-31,24,False
2020-06-01,10,False
2020-06-02,0,False
2020-06-03,8,False
2020-06-04,8,False
2020-06-05,18,False
2020-06-06,10,False
2020-06-07,11,False
2020-06-08,8,False
2020-06-09,9,False
2020-06-10,19,False
2020-06-11,16,False
2020-06-12,21,False
2020-06-13,25,False
2020-06-14,44,False
2020-06-15,26,False
2020-06-16,20,False
2020-06-17,15,False
2020-06-18,13,False
2020-06-19,11,False
2020-06-20,12,False
2020-06-21,0,False
2020-06-22,100,False
2020-06-23,52,False
2020-06-24,50,False
2020-06-25,14,False
2020-06-26,21,False
2020-06-27,12,False
2020-06-28,12,False
2020-06-29,0,False
2020-06-30,11,False
