date,obama immigration,isPartial
2012-08-06,0,False
2012-08-07,0,False
2012-08-08,34,False
2012-08-09,34,False
2012-08-10,35,False
2012-08-11,0,False
2012-08-12,0,False
2012-08-13,0,False
2012-08-14,100,False
2012-08-15,85,False
2012-08-16,35,False
2012-08-17,74,False
2012-08-18,45,False
2012-08-19,47,False
2012-08-20,0,False
2012-08-21,69,False
2012-08-22,35,False
2012-08-23,72,False
2012-08-24,36,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,34,False
2012-08-28,32,False
2012-08-29,33,False
2012-08-30,0,False
2012-08-31,34,False
2012-09-01,0,False
2012-09-02,43,False
2012-09-03,38,False
2012-09-04,31,False
2012-09-05,0,False
2012-09-06,32,False
2012-09-07,0,False
2012-09-08,0,False
2012-09-09,39,False
2012-09-10,32,False
2012-09-11,0,False
2012-09-12,31,False
2012-09-13,64,False
2012-09-14,0,False
2012-09-15,0,False
2012-09-16,39,False
2012-09-17,0,False
2012-09-18,0,False
2012-09-19,97,False
2012-09-20,0,False
2012-09-21,99,False
2012-09-22,39,False
2012-09-23,38,False
2012-09-24,61,False
2012-09-25,95,False
2012-09-26,32,False
2012-09-27,0,False
2012-09-28,99,False
2012-09-29,0,False
2012-09-30,38,False
2012-10-01,48,False
2012-10-02,31,False
2012-10-03,31,False
2012-10-04,63,False
2012-10-05,0,False
2012-10-06,0,False
2012-10-07,38,False
2012-10-08,0,False
2012-10-09,31,False
2012-10-10,31,False
2012-10-11,61,False
2012-10-12,31,False
2012-10-13,0,False
2012-10-14,73,False
2012-10-15,58,False
2012-10-16,59,False
2012-10-17,30,False
2012-10-18,45,False
2012-10-19,61,False
2012-10-20,37,False
2012-10-21,0,False
2012-10-22,30,False
2012-10-23,73,False
2012-10-24,59,False
2012-10-25,59,False
2012-10-26,31,False
2012-10-27,37,False
2012-10-28,0,False
2012-10-29,29,False
2012-10-30,33,False
2012-10-31,81,False
2012-11-01,32,False
2012-11-02,64,False
2012-11-03,37,False
2012-11-04,70,False
2012-11-05,44,False
2012-11-06,43,False
