date,hillary immigration,isPartial
2016-08-07,0,False
2016-08-08,0,False
2016-08-09,0,False
2016-08-10,0,False
2016-08-11,31,False
2016-08-12,32,False
2016-08-13,0,False
2016-08-14,36,False
2016-08-15,31,False
2016-08-16,31,False
2016-08-17,0,False
2016-08-18,0,False
2016-08-19,0,False
2016-08-20,35,False
2016-08-21,0,False
2016-08-22,31,False
2016-08-23,32,False
2016-08-24,31,False
2016-08-25,0,False
2016-08-26,29,False
2016-08-27,33,False
2016-08-28,0,False
2016-08-29,47,False
2016-08-30,28,False
2016-08-31,28,False
2016-09-01,28,False
2016-09-02,29,False
2016-09-03,33,False
2016-09-04,34,False
2016-09-05,0,False
2016-09-06,84,False
2016-09-07,28,False
2016-09-08,0,False
2016-09-09,29,False
2016-09-10,33,False
2016-09-11,32,False
2016-09-12,28,False
2016-09-13,27,False
2016-09-14,27,False
2016-09-15,28,False
2016-09-16,56,False
2016-09-17,32,False
2016-09-18,31,False
2016-09-19,27,False
2016-09-20,36,False
2016-09-21,28,False
2016-09-22,42,False
2016-09-23,29,False
2016-09-24,33,False
2016-09-25,32,False
2016-09-26,0,False
2016-09-27,27,False
2016-09-28,0,False
2016-09-29,28,False
2016-09-30,29,False
2016-10-01,0,False
2016-10-02,32,False
2016-10-03,0,False
2016-10-04,41,False
2016-10-05,0,False
2016-10-06,28,False
2016-10-07,29,False
2016-10-08,0,False
2016-10-09,34,False
2016-10-10,0,False
2016-10-11,28,False
2016-10-12,28,False
2016-10-13,56,False
2016-10-14,29,False
2016-10-15,34,False
2016-10-16,0,False
2016-10-17,56,False
2016-10-18,28,False
2016-10-19,47,False
2016-10-20,37,False
2016-10-21,29,False
2016-10-22,35,False
2016-10-23,0,False
2016-10-24,82,False
2016-10-25,55,False
2016-10-26,55,False
2016-10-27,27,False
2016-10-28,29,False
2016-10-29,0,False
2016-10-30,33,False
2016-10-31,41,False
2016-11-01,43,False
2016-11-02,40,False
2016-11-03,26,False
2016-11-04,54,False
2016-11-05,31,False
2016-11-06,46,False
2016-11-07,95,False
2016-11-08,100,False
