date,trump immigration,isPartial
2020-05-27,11,False
2020-05-28,13,False
2020-05-29,35,False
2020-05-30,12,False
2020-05-31,18,False
2020-06-01,8,False
2020-06-02,15,False
2020-06-03,15,False
2020-06-04,7,False
2020-06-05,23,False
2020-06-06,9,False
2020-06-07,9,False
2020-06-08,10,False
2020-06-09,27,False
2020-06-10,8,False
2020-06-11,24,False
2020-06-12,24,False
2020-06-13,22,False
2020-06-14,25,False
2020-06-15,22,False
2020-06-16,24,False
2020-06-17,24,False
2020-06-18,35,False
2020-06-19,19,False
2020-06-20,19,False
2020-06-21,35,False
2020-06-22,89,False
2020-06-23,100,False
2020-06-24,32,False
2020-06-25,19,False
2020-06-26,22,False
2020-06-27,19,False
2020-06-28,19,False
2020-06-29,25,False
2020-06-30,17,False
