date,trump immigration,isPartial
2016-08-07,6,False
2016-08-08,6,False
2016-08-09,3,False
2016-08-10,6,False
2016-08-11,3,False
2016-08-12,5,False
2016-08-13,0,False
2016-08-14,4,False
2016-08-15,5,False
2016-08-16,5,False
2016-08-17,5,False
2016-08-18,8,False
2016-08-19,6,False
2016-08-20,11,False
2016-08-21,5,False
2016-08-22,12,False
2016-08-23,9,False
2016-08-24,6,False
2016-08-25,19,False
2016-08-26,14,False
2016-08-27,7,False
2016-08-28,6,False
2016-08-29,8,False
2016-08-30,5,False
2016-08-31,31,False
2016-09-01,100,False
2016-09-02,23,False
2016-09-03,9,False
2016-09-04,6,False
2016-09-05,10,False
2016-09-06,5,False
2016-09-07,9,False
2016-09-08,8,False
2016-09-09,6,False
2016-09-10,5,False
2016-09-11,3,False
2016-09-12,5,False
2016-09-13,5,False
2016-09-14,3,False
2016-09-15,3,False
2016-09-16,3,False
2016-09-17,3,False
2016-09-18,3,False
2016-09-19,5,False
2016-09-20,4,False
2016-09-21,4,False
2016-09-22,7,False
2016-09-23,3,False
2016-09-24,7,False
2016-09-25,6,False
2016-09-26,5,False
2016-09-27,12,False
2016-09-28,4,False
2016-09-29,7,False
2016-09-30,7,False
2016-10-01,3,False
2016-10-02,3,False
2016-10-03,9,False
2016-10-04,6,False
2016-10-05,11,False
2016-10-06,3,False
2016-10-07,5,False
2016-10-08,3,False
2016-10-09,3,False
2016-10-10,5,False
2016-10-11,4,False
2016-10-12,3,False
2016-10-13,4,False
2016-10-14,4,False
2016-10-15,6,False
2016-10-16,3,False
2016-10-17,4,False
2016-10-18,6,False
2016-10-19,4,False
2016-10-20,6,False
2016-10-21,7,False
2016-10-22,0,False
2016-10-23,5,False
2016-10-24,5,False
2016-10-25,4,False
2016-10-26,10,False
2016-10-27,3,False
2016-10-28,3,False
2016-10-29,5,False
2016-10-30,3,False
2016-10-31,7,False
2016-11-01,3,False
2016-11-02,4,False
2016-11-03,6,False
2016-11-04,7,False
2016-11-05,10,False
2016-11-06,6,False
2016-11-07,13,False
2016-11-08,15,False
