date,trump immigration,isPartial
2016-08-07,10,False
2016-08-08,25,False
2016-08-09,21,False
2016-08-10,8,False
2016-08-11,0,False
2016-08-12,8,False
2016-08-13,10,False
2016-08-14,10,False
2016-08-15,9,False
2016-08-16,12,False
2016-08-17,9,False
2016-08-18,13,False
2016-08-19,17,False
2016-08-20,10,False
2016-08-21,10,False
2016-08-22,17,False
2016-08-23,13,False
2016-08-24,19,False
2016-08-25,21,False
2016-08-26,19,False
2016-08-27,9,False
2016-08-28,0,False
2016-08-29,12,False
2016-08-30,12,False
2016-08-31,37,False
2016-09-01,100,False
2016-09-02,42,False
2016-09-03,15,False
2016-09-04,10,False
2016-09-05,0,False
2016-09-06,13,False
2016-09-07,0,False
2016-09-08,0,False
2016-09-09,0,False
2016-09-10,9,False
2016-09-11,0,False
2016-09-12,8,False
2016-09-13,15,False
2016-09-14,8,False
2016-09-15,12,False
2016-09-16,0,False
2016-09-17,0,False
2016-09-18,9,False
2016-09-19,8,False
2016-09-20,7,False
2016-09-21,0,False
2016-09-22,0,False
2016-09-23,8,False
2016-09-24,19,False
2016-09-25,9,False
2016-09-26,8,False
2016-09-27,15,False
2016-09-28,8,False
2016-09-29,8,False
2016-09-30,11,False
2016-10-01,9,False
2016-10-02,0,False
2016-10-03,8,False
2016-10-04,0,False
2016-10-05,8,False
2016-10-06,11,False
2016-10-07,8,False
2016-10-08,9,False
2016-10-09,9,False
2016-10-10,8,False
2016-10-11,7,False
2016-10-12,7,False
2016-10-13,10,False
2016-10-14,15,False
2016-10-15,9,False
2016-10-16,13,False
2016-10-17,7,False
2016-10-18,7,False
2016-10-19,11,False
2016-10-20,7,False
2016-10-21,0,False
2016-10-22,0,False
2016-10-23,9,False
2016-10-24,0,False
2016-10-25,7,False
2016-10-26,7,False
2016-10-27,10,False
2016-10-28,11,False
2016-10-29,9,False
2016-10-30,9,False
2016-10-31,7,False
2016-11-01,8,False
2016-11-02,7,False
2016-11-03,7,False
2016-11-04,7,False
2016-11-05,9,False
2016-11-06,0,False
2016-11-07,7,False
2016-11-08,14,False
