date,trump immigration,isPartial
2016-08-07,0,False
2016-08-08,0,False
2016-08-09,0,False
2016-08-10,15,False
2016-08-11,0,False
2016-08-12,0,False
2016-08-13,0,False
2016-08-14,0,False
2016-08-15,16,False
2016-08-16,16,False
2016-08-17,0,False
2016-08-18,0,False
2016-08-19,0,False
2016-08-20,0,False
2016-08-21,19,False
2016-08-22,32,False
2016-08-23,32,False
2016-08-24,16,False
2016-08-25,37,False
2016-08-26,15,False
2016-08-27,0,False
2016-08-28,18,False
2016-08-29,29,False
2016-08-30,14,False
2016-08-31,43,False
2016-09-01,100,False
2016-09-02,45,False
2016-09-03,26,False
2016-09-04,18,False
2016-09-05,17,False
2016-09-06,14,False
2016-09-07,14,False
2016-09-08,0,False
2016-09-09,0,False
2016-09-10,0,False
2016-09-11,0,False
2016-09-12,27,False
2016-09-13,14,False
2016-09-14,14,False
2016-09-15,0,False
2016-09-16,0,False
2016-09-17,0,False
2016-09-18,0,False
2016-09-19,0,False
2016-09-20,14,False
2016-09-21,0,False
2016-09-22,0,False
2016-09-23,0,False
2016-09-24,0,False
2016-09-25,0,False
2016-09-26,28,False
2016-09-27,14,False
2016-09-28,14,False
2016-09-29,0,False
2016-09-30,14,False
2016-10-01,0,False
2016-10-02,16,False
2016-10-03,0,False
2016-10-04,14,False
2016-10-05,14,False
2016-10-06,0,False
2016-10-07,0,False
2016-10-08,0,False
2016-10-09,0,False
2016-10-10,14,False
2016-10-11,0,False
2016-10-12,0,False
2016-10-13,0,False
2016-10-14,0,False
2016-10-15,19,False
2016-10-16,18,False
2016-10-17,0,False
2016-10-18,29,False
2016-10-19,14,False
2016-10-20,0,False
2016-10-21,15,False
2016-10-22,18,False
2016-10-23,0,False
2016-10-24,14,False
2016-10-25,0,False
2016-10-26,0,False
2016-10-27,28,False
2016-10-28,15,False
2016-10-29,18,False
2016-10-30,0,False
2016-10-31,0,False
2016-11-01,14,False
2016-11-02,0,False
2016-11-03,14,False
2016-11-04,15,False
2016-11-05,18,False
2016-11-06,17,False
2016-11-07,14,False
2016-11-08,23,False
