date,text
2020-06-03,analysis: why women should really worry trump
2020-06-03,analysis: trump's 'bunker' story tells you everything you need to know about him
2020-06-03,watch as esper breaks from trump on military action
2020-06-03,white house releases results of trump's annual physical
2020-06-03,fact-checking trump's tear gas claims
2020-06-03,facebook shuts down far-right group planning to bring weapons to protests
2020-06-03,"the eighth night of demonstrations saw less violence, fewer police clashes and more acts of civil disobedience"
2020-06-03,snapchat to stop promoting trump after controversial posts
2020-06-03,america's unrest sets up battle for nation's soul between trump and biden
2020-06-03,us secretary of defense says he does not support using active duty troops to quell protests in break from trump
2020-06-03,retired police captain killed during a looting at a pawnshop
2020-06-03,washington post: trump attempted to register to vote in florida last year using the white house address
2020-06-03,60 minutes of mayhem: how aggressive politics and policing turned a peaceful protest into a violent confrontation
2020-06-03,mattis tears into trump: 'we are witnessing the consequences of three years without mature leadership'
2020-06-03,america's unrest sets up battle for nation's soul between trump and biden
2020-06-03,fact-checking the rosenstein hearing about the russia probe
2020-06-03,the us national security adviser says there's no systemic racism in policing. studies suggest otherwise
2020-06-03,trump launches defensive twitter spree as america grieves
2020-06-03,read: former defense secretary mattis' statement on trump and protests
2020-06-03,opinion: trump's law and order message strikes a chord
2020-06-04,the senate is slipping from republicans
2020-06-04,retired general: i was horrified watching trump's photo op
2020-06-04,fact check: five false or misleading claims trump and his allies make about protests
2020-06-04,the day police charged a peaceful protest for trump's photo-op
2020-06-04,anderson cooper scoffs at trump being compared to churchill
2020-06-04,5 reasons experts say we should be wary of labeling protesters as 'outside agitators'
2020-06-04,analysis: former generals condemn trump
2020-06-04,internet mocks trump's bible photo-op
2020-06-04,stark contrast in what trump and obama said about protests
2020-06-04,protests are sparking a surprising debate in black america
2020-06-04,'trump is a joke:' uk protesters show solidarity for george floyd
2020-06-04,the history of the secret white house presidential bunker
2020-06-04,"stelter: trump encourages people not to believe their eyes, ears or lungs"
2020-06-04,why mattis' verdict on trump is devastating
2020-06-04,the long list of trump administration officials turned critics
2020-06-04,"mattis' incredible excoriation of trump, annotated"
2020-06-04,military leaders condemn trump over protest response
2020-06-04,cdc woes bring director redfield's troubled past as an aids researcher to light
2020-06-04,dwayne johnson makes powerful plea for leadership
2020-06-04,gop senator says she's 'struggling' on whether to back trump
2020-06-05,analysis: the 39 most outrageous lines from trump's speech
