date,text
2020-06-02,"twitter shuts down fake antifa account linked to white nationalists, misinformation tied to george floyd pr... - fox news"
2020-06-02,dr. kiron skinner: trump needs to become 'the race president'
2020-06-02,political fallout from president trump's response to civil unrest
2020-06-02,"trump hammered for church photo op, biden urges racial healing"
2020-06-02,"trump signs executive order on religious freedom, as dc archbishop slams trump visit to catholic shrine"
2020-06-02,trump focused on means rather than ends
2020-06-02,congress measures trump’s response to the george floyd protests
2020-06-02,"trump rips ‘cuomo brothers,’ says new york ‘was lost to the looters’"
2020-06-02,gutfeld on the media's role in the riots
2020-06-02,debra messing faces backlash over photoshopped image linking trump to hitler
2020-06-02,"watters slams biden remarks on race, says ex-vp pointed fingers while us 'was torn apart' in obama years"
2020-06-02,"conservative columnist george will wins over liberals with scathing takedown of trump, congressional 'enablers'"
2020-06-02,rubio defends trump after criticism over st. john’s ‘photo op’
2020-06-02,"barr ordered officials to clear area around lafayette square before trump’s protest remarks, officials say"
2020-06-02,warriors' steve kerr mocks trump's church photo
2020-06-02,"ex-joint chiefs chair 'sickened' by action against dc protesters, says not 'appropriate' to call in military"
2020-06-02,gop senator calls out trump for treating 'word of god as a political prop'
2020-06-02,dems trash ny times over front-page headline deemed too favorable to trump
2020-06-02,backlash grows over use of tear gas against protesters prior to trump's walk to dc church
2020-06-02,facebook employees to stage virtual walkout over handling of trump posts
2020-06-03,president trump on the brian kilmeade show
2020-06-03,"andrew cuomo knocks trump's church visit: 'here in new york, we actually read the bible'"
2020-06-03,"sen. whitehouse slams rosenstein for lack of transparency at doj: 'it is someone's policy, and i want it stopped'"
2020-06-03,violence abated
2020-06-03,"trump rips media, mobs amid rising criticism of deploying military"
2020-06-03,"hannity: if liberal mayors and governors refuse to restore law and order, president trump will"
2020-06-03,joe biden leads president trump in three battleground states
2020-06-03,trump administration banning chinese airlines from operating incoming flights as of june 16
2020-06-03,"trump threatens rioters with military, biden urges racial healing"
2020-06-03,"liz peek: george floyd rioting – biden doesn't get it. it's the safety, stupid"
