date,score
2020-05-26,1
2020-05-27,3
2020-05-27,2
2020-05-27,2
2020-05-28,3
2020-05-29,2
2020-05-29,2
2020-05-29,2
2020-05-30,2
2020-06-01,1
2020-06-01,3
2020-06-01,2
2020-06-02,2
2020-06-02,2
2020-06-02,2
2020-06-02,1
2020-06-02,3
2020-06-03,2
2020-06-03,2
2020-06-03,2
2020-06-04,2
2020-06-04,2
2020-06-05,1
2020-06-06,2
2020-06-06,2
2020-06-06,2
2020-06-08,2
2020-06-09,2
2020-06-09,1
2020-06-10,1
2020-06-11,2
2020-06-11,2
2020-06-11,1
2020-06-12,2
2020-06-12,2
2020-06-12,2
2020-06-12,1
2020-06-12,1
2020-06-12,3
2020-06-12,2
2020-06-13,3
2020-06-13,1
2020-06-14,2
2020-06-14,2
2020-06-14,2
2020-06-15,2
2020-06-16,2
2020-06-16,1
2020-06-17,2
2020-06-17,2
2020-06-18,2
2020-06-18,2
2020-06-18,2
2020-06-18,1
2020-06-19,2
2020-06-19,2
2020-06-19,2
2020-06-20,2
2020-06-21,1
2020-06-21,2
2020-06-21,2
2020-06-21,2
2020-06-22,2
2020-06-22,1
2020-06-22,2
2020-06-22,1
2020-06-23,2
2020-06-23,3
2020-06-24,3
2020-06-24,2
2020-06-24,2
2020-06-25,2
2020-06-25,2
2020-06-26,3
2020-06-26,2
2020-06-26,1
2020-06-26,3
2020-06-26,2
2020-06-27,2
2020-06-27,2
2020-06-27,2
2020-06-27,3
