date,text
2020-05-29,will trump dispute the 2020 election results? his tweets this week suggest so
2020-06-08,trump plans to resume election rallies despite warnings over large crowds
2020-06-09,think trump is bad? president tom cotton would be even more terrifying
2020-06-11,biden predicts military will intervene if trump refuses to accept election loss
2020-06-12,"'trump thought i was a secretary': fiona hill on the president, putin and populism"
2020-06-12,critics decry trump election rally in city of tulsa race massacre on juneteenth
2020-06-13,donald trump delays oklahoma election rally to avoid juneteenth slavery date
2020-06-14,"pandemic, what pandemic? trump sees mass rallies as path to re-election"
2020-06-17,trump gives poland's president duda pre-election boost with white house invite
2020-06-18,facebook removes trump re-election ads that feature a nazi symbol
2020-06-18,trump battles to halt memoir as bolton calls president 'not fit for office'
2020-06-22,fear mounts trump may pressure fda to rush covid-19 vaccine by election
2020-06-22,john bolton says he won't vote for trump and hopes he is a one-term president
2020-06-24,trump is in a precarious position for re-election – but he still has a chance
