date,text
2020-06-03,"fox news poll: biden ahead in arizona, kelly trouncing mcsally in senate race"
2020-06-03,fox news poll: biden leads trump in wisconsin
2020-06-03,"fox news poll: biden-trump tossup in ohio, 82 percent approve of dewine"
2020-06-03,president trump on the brian kilmeade show
2020-06-03,biden and trump all tied up in texas: poll
2020-06-03,violence abated
2020-06-04,doug schoen: george floyd unrest — only this can save dems from defeat in 2020
2020-06-04,ex-hillary clinton spokesman slammed after endorsing ‘defund the police’ push
2020-06-04,terribly shallow
2020-06-04,"2 nypd officers shot, another stabbed during post-curfew confrontation, unclear if related to floyd protests"
2020-06-04,"grassley holds up key trump nominations, demands white house explain inspector general firings"
2020-06-04,aoc rankles democrats again for campaigning against an incumbent: 'she has abandoned her colleagues'
2020-06-04,"tucker carlson: is america being torn apart by a total, complete -- but provable -- lie?"
2020-06-05,2020 democracy: biden reacts negatively to positive job report
2020-06-05,president trump touts surprise us job gains despite coronavirus pandemic
2020-06-05,"trump holds major campaign meetings at white house, as polls show biden ahead"
2020-06-05,new hires in may dent sky-high jobless rate
2020-06-05,"biden rips trump ‘crowing’ over jobs report, calls president’s remarks on floyd ‘despicable’"
2020-06-05,mainstream media falsely frames trump's 'great day' george floyd remarks on jobs report instead of equality under law
2020-06-05,deroy murdock: mattis wrongly criticizes trump – ignores facts about rioting and president’s accomplishments
2020-06-06,biden clinches democratic presidential nomination with latest delegate haul
2020-06-06,marc thiessen on biden reaction to may jobs report: ex-vp seems to be 'rooting against' recovery
2020-06-06,martha maccallum: jobs report is 'vindication' for coronavirus 'lockdown rebellion'
2020-06-06,arnon mishkin: one crisis too many — will the riots be trump's undoing?
2020-06-07,peter navarro: china has exploited coronavirus pandemic to advance its strategic interests – here’s how
2020-06-07,gopers on capitol hill aren't wavering in support of trump despite criticism
2020-06-07,"victor davis hanson: us is in turmoil, europe is weak and china is now on the move — without apologies"
2020-06-07,"mike huckabee encourages all republicans to 'make the right move,' support trump's reelection"
2020-06-08,justin haskins: this biden team member's multi-trillion-dollar jobs plan a bad deal for us
2020-06-08,poll puts trump down 14 points to biden in general election showdown
2020-06-08,"biden over the top, now what?"
2020-06-08,"some 80 percent of americans say country 'out of control,' poll finds"
2020-06-08,pro-biden pac aims to weaken trump with seniors in key battlegrounds
2020-06-08,trump supporters pumping thousands into aoc's primary opponent's coffers: report
2020-06-09,"tom del beccaro, steve moore: joe biden's policies would push us into a deep depression"
