date,text
2020-06-03,"c-span caller confronts house dem over kennedy center funding, money spent on impeachment: 'what good did that do?'"
2020-06-03,president trump on the brian kilmeade show
2020-06-03,"fox news poll: biden ahead in arizona, kelly trouncing mcsally in senate race"
2020-06-03,fox news poll: biden leads trump in wisconsin
2020-06-03,"fox news poll: biden-trump tossup in ohio, 82 percent approve of dewine"
2020-06-03,violence abated
2020-06-03,biden and trump all tied up in texas: poll
2020-06-03,cuomo says trump policies ‘vicious’ for state: ‘he has failed to do anything positive for new york’
2020-06-03,liz harrington: the rnc has gotten “a lot of offers” for the convention
2020-06-03,"today on fox news: june 3, 2020"
2020-06-03,"congressional black caucus chair rejects call to defund police, but pushes for june vote on reforms"
2020-06-03,eagles' don henley urges congress to change copyright law
2020-06-03,"boris johnson offers refuge, citizenship to 3 million hong kong residents"
2020-06-04,doug schoen: george floyd unrest — only this can save dems from defeat in 2020
2020-06-04,dwayne 'the rock' johnson appears to jab trump's lack of leadership amid protests: ‘where are you?’
2020-06-04,"2 nypd officers shot, another stabbed during post-curfew confrontation, unclear if related to floyd protests"
2020-06-04,terribly shallow
2020-06-04,"grassley holds up key trump nominations, demands white house explain inspector general firings"
2020-06-04,cdc boss apologizes for 'inadequate' race-based coronavirus data
2020-06-04,arthur herman: us coronavirus lockdown — china seizes chance to fulfill these global ambitions
2020-06-05,cnn skips trump's live remarks on surprisingly good labor market report
2020-06-05,new hires in may dent sky-high jobless rate
2020-06-05,rebecca grant: criticizing trump ok for retired military leaders – but they can't be immune from criticism
2020-06-05,president trump ridicules green new deal as 'baby talk' that 'would kill our country'
2020-06-05,trump hits pbs' yamiche alcindor for asking how '.1 percent' increase in black unemployment is a 'victory'
2020-06-05,ny times columnist paul krugman apologizes for floating ‘conspiracy theory’ about jobs numbers that trump influenced labor data
2020-06-05,president trump touts surprise us job gains despite coronavirus pandemic
2020-06-05,james carafano: us vs. china — 5 smart ways to keep pushing back
2020-06-05,us soccer star michael bradley slams trump in wake of protests: 'there isn't a moral bone in his body'
2020-06-05,"trump holds major campaign meetings at white house, as polls show biden ahead"
2020-06-05,deroy murdock: mattis wrongly criticizes trump – ignores facts about rioting and president’s accomplishments
2020-06-05,mainstream media falsely frames trump's 'great day' george floyd remarks on jobs report instead of equality under law
2020-06-05,"biden rips trump ‘crowing’ over jobs report, calls president’s remarks on floyd ‘despicable’"
2020-06-05,"'orgy of violence': ami horowitz talks to minneapolis protesters who support looting, killing cops"
2020-06-05,florida sees spike in coronavirus cases while approaching new reopening phase
2020-06-05,tom cotton’s office baffled by new york times’ backpedaling over op-ed on george floyd riots
2020-06-06,labor secretary scalia: all signs point to 'strong and safe' economic recovery after coronavirus
2020-06-06,"andy puzder: falling jobless rate shows economy is recovering from coronavirus closures, as trump predicted"
2020-06-06,martha maccallum: jobs report is 'vindication' for coronavirus 'lockdown rebellion'
2020-06-06,anti-trump gop group targets president over coronavirus
2020-06-06,'tiger king' star jeff lowe rips joe exotic's request for pardon from trump: 'he's a horrible person'
2020-06-06,"herman cain: may jobs report good for american business, shows upward trend"
2020-06-06,"laura ingraham: 'experts' wrong about trump once again, may jobs report shows"
2020-06-06,marc thiessen on biden reaction to may jobs report: ex-vp seems to be 'rooting against' recovery
2020-06-06,"richard fowler: after george floyd death, trump divides americans instead of uniting us against racism"
2020-06-06,"bill maher: 'reckless' lockdowns helped fuel riots, could lead to 'blood in the streets' after election"
2020-06-06,arnon mishkin: one crisis too many — will the riots be trump's undoing?
2020-06-06,gingrich & christensen: coronavirus was a wakeup call – now us-china policy must be reimagined
2020-06-06,"cuomo, under fire for coronavirus response, declares new york 'crushed' the curve"
2020-06-07,gopers on capitol hill aren't wavering in support of trump despite criticism
2020-06-07,peter navarro: china has exploited coronavirus pandemic to advance its strategic interests – here’s how
2020-06-07,peter navarro: 'i blame china' for a lot of the economic hardships plaguing the us
2020-06-07,restaurant owners urge a second round ppp funding: 'it will go a long way'
2020-06-07,newt gingrich: democrats want to steal november election – here’s how
2020-06-07,"mike huckabee encourages all republicans to 'make the right move,' support trump's reelection"
2020-06-07,"victor davis hanson: us is in turmoil, europe is weak and china is now on the move — without apologies"
2020-06-07,adriana cohen: coronavirus 'shelter-in-place' orders -- did they suddenly vanish?
2020-06-08,justin haskins: this biden team member's multi-trillion-dollar jobs plan a bad deal for us
2020-06-08,trump supporters pumping thousands into aoc's primary opponent's coffers: report
2020-06-08,steve hilton: trump's gains with african-americans will be lost if he does not lead on police reform
2020-06-08,poll puts trump down 14 points to biden in general election showdown
2020-06-08,"some 80 percent of americans say country 'out of control,' poll finds"
2020-06-08,pro-biden pac aims to weaken trump with seniors in key battlegrounds
2020-06-08,"biden over the top, now what?"
2020-06-08,gen. jack keane says china's actions have beijing closer to 'replace the united states as a global leader'
2020-06-09,"tom del beccaro, steve moore: joe biden's policies would push us into a deep depression"
2020-06-09,"christian whiton: trump is right to withdraw 9,500 u.s. troops from germany – he should pull out even more"
2020-06-09,barr claims social media platforms 'censoring particular viewpoints and putting their own content in there'
2020-06-09,"george p. bush, texas land commissioner and son of jeb, will vote for trump"
2020-06-09,taylor swift calls out racial injustice and says 'changes must be made' to fight police brutality
2020-06-09,cal thomas: trump and african-americans – these are the actions he must take now
