date,score
2020-05-26,1
2020-05-27,1
2020-05-28,1
2020-05-29,1
2020-05-30,1
2020-05-31,1
2020-06-01,1
2020-06-02,1
2020-06-03,1
2020-06-04,2
2020-06-05,1
2020-06-06,3
2020-06-07,2
2020-06-08,2
2020-06-09,1
2020-06-10,2
2020-06-11,1
2020-06-12,3
2020-06-13,1
2020-06-14,1
2020-06-15,2
2020-06-16,1
2020-06-17,3
2020-06-17,2
2020-06-18,1
2020-06-19,2
2020-06-19,2
2020-06-19,2
2020-06-19,2
2020-06-19,1
2020-06-20,2
2020-06-21,1
2020-06-21,1
2020-06-22,2
2020-06-22,2
2020-06-22,1
2020-06-23,3
2020-06-23,1
2020-06-23,2
2020-06-23,2
2020-06-23,1
2020-06-24,2
2020-06-24,2
2020-06-25,3
2020-06-26,2
2020-06-26,3
2020-06-26,3
2020-06-27,1
