date,text
2020-06-03,trump administration banning chinese airlines from operating incoming flights as of june 16
2020-06-03,"liz peek: george floyd rioting – biden doesn't get it. it's the safety, stupid"
2020-06-03,"zuckerberg defiant in tense session with employees over trump posts, report says"
2020-06-03,violence abated
2020-06-03,"cruz slams rosenstein on russia probe, says he was 'complicit' or 'grossly negligent’"
2020-06-03,george floyd unrest: police lieutenants' union says cuomo 'abandoned and insulted' nypd amid attacks
2020-06-03,creating chaos: how antifa and other extremists drive discord online
2020-06-04,"controversial covid-19 papers retracted from the lancet, new england medical journal amid backlash"
2020-06-04,"trump expected to sign executive order to waive environmental reviews, expedite permitting for infrastructure projects"
2020-06-04,arthur herman: us coronavirus lockdown — china seizes chance to fulfill these global ambitions
2020-06-04,culture war escalates as trump says media glorify rioters
2020-06-04,"gen. john allen, anti-isis envoy under obama, rips trump in foreign policy op-ed"
2020-06-04,"james clapper: china, russia will exploit human rights abuses 'in our own streets'"
2020-06-04,controversial hydroxychloroquine research under scrutiny as experts raise 'serious scientific questions'
2020-06-04,msnbc host rachel maddow's ratings slide continues despite unprecedented news cycle
2020-06-05,president trump ridicules green new deal as 'baby talk' that 'would kill our country'
2020-06-05,"network newscasts skip major hydroxychloroquine report retractions, org says"
2020-06-05,msnbc hires controversial ex-fbi lawyer lisa page as legal analyst
2020-06-05,"biden rips trump ‘crowing’ over jobs report, calls president’s remarks on floyd ‘despicable’"
2020-06-05,james carafano: us vs. china — 5 smart ways to keep pushing back
2020-06-05,journalist andy ngo files lawsuit against antifa group in oregon following 2019 assaults
2020-06-06,gingrich & christensen: coronavirus was a wakeup call – now us-china policy must be reimagined
2020-06-07,"victor davis hanson: us is in turmoil, europe is weak and china is now on the move — without apologies"
2020-06-07,nyc cultural workers call to slash funding for police amid george floyd anger
2020-06-07,gopers on capitol hill aren't wavering in support of trump despite criticism
2020-06-07,peter navarro: china has exploited coronavirus pandemic to advance its strategic interests – here’s how
2020-06-08,justin haskins: this biden team member's multi-trillion-dollar jobs plan a bad deal for us
2020-06-08,john sununu on new polls favoring biden: trump's rhetoric getting him into 'real trouble'
2020-06-08,tammy bruce: why the gop establishment turning against trump confirms what we suspected
2020-06-08,gen. jack keane says china's actions have beijing closer to 'replace the united states as a global leader'
2020-06-08,"some 80 percent of americans say country 'out of control,' poll finds"
2020-06-08,ex-browns coach hue jackson says he wanted team to sign colin kaepernick in 2017
2020-06-08,"kayleigh mcenany says cnn's chris cuomo, don lemon encouraged non-peaceful george floyd protests"
2020-06-08,colin kaepernick: timeline of former nfl qb's kneeling protests
2020-06-08,who are the americans being held as 'political prisoners' abroad?
2020-06-09,"tom del beccaro, steve moore: joe biden's policies would push us into a deep depression"
2020-06-09,james carafano: reduce forces in europe? america would suffer. here's how
2020-06-09,"george p. bush, texas land commissioner and son of jeb, will vote for trump"
2020-06-09,tucker carlson: black lives matter is now a powerful political party and has nothing to do with black lives
2020-06-10,"messy georgia primary raises alarms for november, as ossoff edges closer to clinching senate nomination"
2020-06-10,"exclusive: barr says doj investigating familiar names in durham probe, calls findings 'very troubling'"
2020-06-10,dana white suggests sending out ufc fighters to stop violent protests
2020-06-10,medicaid spending could increase by nearly half a trillion dollars in covid-19 fallout: study
2020-06-11,seattle's 'autonomous zone' is latest escalation in city's lurch to the left: what to know
2020-06-11,biden says mlk assassination ‘did not have the worldwide impact’ that george floyd’s death did
2020-06-11,joint chiefs chairman milley says it was 'mistake' to appear with trump in lafayette square
2020-06-11,media coverage spins protester takeover of seattle area as 'festive zone'
2020-06-11,"justin haskins: george floyd riots — socialists, radicals hijacking peaceful protests to do this"
2020-06-11,tucker carlson: we were lied to about coronavirus and the mass lockdowns. here's the proof
2020-06-12,trump responds to milley apology for lafayette square photo op
2020-06-12,attendees at trump’s rally next week must agree not to sue campaign if they get coronavirus
2020-06-12,tucker carlson: world welcomes its newest country -- the capitol hill autonomous zone once known as seattle
2020-06-12,gen. milley was right to issue mea culpa for perceived political appearance: gen. jack keane
2020-06-12,biden backs push to scrub confederate names from military bases
2020-06-12,judge says court may have picked 'intemperate' lawyer to argue against doj dropping flynn case
2020-06-13,"trump campaign says 300,000 people applied for tickets to oklahoma rally"
2020-06-13,"hhs reverses obamacare rule that included abortion, gender identity in sex discrimination protections"
2020-06-13,"spacex expands network with launch of 58 satellites, completes second of four launches"
2020-06-13,cnn correspondent contradicts network's own report that armed protesters had no presence in chaz
2020-06-13,adriana cohen: censorship by social and legacy media is a grave threat to our freedom – we must all protest
2020-06-14,"gates: obama, gwb used military as a prop -- but trump administration takes those efforts to 'a new level'"
2020-06-14,kudlow says it's 'probably' good idea for trump supporters to wear masks to oklahoma rally
2020-06-14,"what will 2020 elections be about? impeachment, pandemic, george floyd death by june leaves door wide open"
2020-06-15,"un human rights body to debate ‘systemic racism, police brutality’ in us"
2020-06-15,trump campaign rips planned parenthood endorsement of biden
2020-06-15,"house gop accuses china, who of 'failure of monumental proportions' in spread of coronavirus"
2020-06-15,nbc news called out over tweets about trump’s tulsa event and a 'packed' rally in brooklyn
2020-06-15,doj filing backs expansion of arlington national cemetery
2020-06-15,why us is trying to curtail icc investigation over 'war crimes' in afghanistan
2020-06-15,msnbc reporter blasted on-air by protesters for describing chop as 'street festival'
2020-06-16,"house intel democrats roll out bill to require national intelligence estimate on threat of covid-19, other pandemics"
2020-06-16,"after years of union objections, police reform legislation advances"
2020-06-16,trump signs executive order on policing: read the document
2020-06-16,idaho paying people to return to work after lockdowns
2020-06-17,engel warns new trump appointee to fire senior officials at voa agency
2020-06-17,"who stops hydroxychloroquine trial, after review finds no 'apparent' benefit for coronavirus treatment"
2020-06-17,oklahoma judge refuses to require social distancing at trump’s tulsa rally amid coronavirus concerns
2020-06-17,"bolton, in book, accuses trump of ‘obstruction of justice as a way of life,’ asking china's xi for 2020 help"
2020-06-17,james carafano: us should back india after china kills at least 20 indian troops
2020-06-17,"george floyd's brother, philonise, gives message to un panel investigating 'systemic racism' in us"
