date,text
2020-06-03,"liz peek: george floyd rioting – biden doesn't get it. it's the safety, stupid"
2020-06-03,biden and trump all tied up in texas: poll
2020-06-03,biden closes in on clinching democratic presidential nomination
2020-06-03,biden has edge over trump on handling race relations: poll
2020-06-03,"montana lawmaker who bodyslammed reporter wins gop gubernatorial primary, as biden all but secures nomination"
2020-06-03,violence abated
2020-06-03,"rnc says convention ‘will be held in another city’ after trump abandons charlotte, search underway"
2020-06-04,mainstream media avoids on-air coverage of rod rosenstein hearing after years of pushing russia collusion
2020-06-04,culture war escalates as trump says media glorify rioters
2020-06-04,ex-hillary clinton spokesman slammed after endorsing ‘defund the police’ push
2020-06-04,doug schoen: george floyd unrest — only this can save dems from defeat in 2020
2020-06-04,terribly shallow
2020-06-04,"hundreds, including al sharpton, eric garner's mom, to attend george floyd memorial in minneapolis"
2020-06-05,mark cuban says he hired pollster to help him consider white house run
2020-06-05,msnbc hires controversial ex-fbi lawyer lisa page as legal analyst
2020-06-05,"nypd cracks down on mayhem, curfew defiance as george floyd vigils across us draw thousands"
2020-06-05,mainstream media falsely frames trump's 'great day' george floyd remarks on jobs report instead of equality under law
2020-06-05,new hires in may dent sky-high jobless rate
2020-06-06,"cnn, msnbc completely avoid biden's claim that '10 to 15 percent' of americans are 'just not very good people'"
2020-06-06,biden clinches democratic presidential nomination with latest delegate haul
2020-06-06,politicians take on police departments as floyd protests intensify
2020-06-06,arnon mishkin: one crisis too many — will the riots be trump's undoing?
2020-06-07,"victor davis hanson: us is in turmoil, europe is weak and china is now on the move — without apologies"
2020-06-07,gopers on capitol hill aren't wavering in support of trump despite criticism
2020-06-07,peter navarro: china has exploited coronavirus pandemic to advance its strategic interests – here’s how
2020-06-08,pro-biden pac aims to weaken trump with seniors in key battlegrounds
2020-06-08,justin haskins: this biden team member's multi-trillion-dollar jobs plan a bad deal for us
2020-06-08,"trump shrugs off colin powell’s support for biden, brings up wmd un speech"
2020-06-08,"biden over the top, now what?"
2020-06-08,trump adviser slams 'weak statement' from biden campaign on calls to defund police
2020-06-08,"biden comes out against defunding police, as movement gains traction"
2020-06-08,poll puts trump down 14 points to biden in general election showdown
2020-06-08,biden meets with floyd’s family ahead of tuesday’s funeral
2020-06-08,trump says he wants to see policing done in a 'more gentle fashion'
2020-06-08,tim graham: rosenstein testifies – and suddenly mainstream media say this about russia collusion
2020-06-08,"ex-obama adviser jarrett: 'to some degree,' police 'need more money' for 'recruitment and training'"
2020-06-08,minneapolis mayor at odds with city council's push to abolish police force over floyd death
2020-06-08,mcconnell blasts 'defund the police' movement as 'outlandish' amid george floyd anger
2020-06-08,kamala harris avoids question on whether she backs 'defund the police' movement
2020-06-09,"tom del beccaro, steve moore: joe biden's policies would push us into a deep depression"
2020-06-09,naacp president declines to endorse ‘defund police’ movement
2020-06-09,sanders says ‘i don’t agree’ with push to abolish police departments
2020-06-09,"george p. bush, texas land commissioner and son of jeb, will vote for trump"
2020-06-09,"georgia officials clash as long lines, voting machine problems plague primary day"
2020-06-09,rnc chairwoman believes trump will be holding 'full rallies' with safety precautions
2020-06-09,police unions under fire from the left in aftermath of george floyd's death as calls for reform grow louder
2020-06-09,tucker carlson: black lives matter is now a powerful political party and has nothing to do with black lives
2020-06-10,rose mcgowan calls joe biden a 'wolf in sheep's clothing' amid ongoing protests following george floyd's death
2020-06-10,"potential biden running mate harris renews pitch for $2,000 monthly payments during coronavirus pandemic"
2020-06-10,michigan's whitmer says she supports 'spirit' of 'defund the police' calls
2020-06-10,"cotton's ny times op-ed controversy ups senator's profile, sparks more speculation"
2020-06-10,cruz-cotton bill would condemn calls to defund the police
2020-06-10,deroy murdock: looting and rioting after george floyd killing draw shocking support from left
2020-06-10,jacksonville seen as 'strong contender' in rnc search for new convention site
2020-06-11,biden ‘convinced’ us military would intervene if trump refused to leave white house - fox news
2020-06-11,trump campaign urges tv networks to cover biden events: expose his 'rambling displays of incoherence'
2020-06-11,biden stokes fears of stolen election
2020-06-11,"biden camp reportedly insisting economic advisers not publicly disclose roles, igniting concerns about tv hits"
2020-06-11,biden attending high-roller fundraiser headlined by defund-the-police activist john legend
2020-06-11,"biden unveils proposals to reopen economy, slams trump's 'one-point plan'"
2020-06-11,"trump rips 'radical left democrats' in seattle, urges leaders to 'take back' city from domestic terrorists"
2020-06-11,announcement looms on republican convention city; jacksonville ‘absolutely’ front-runner
