date,text
2020-06-03,"liz peek: george floyd rioting – biden doesn't get it. it's the safety, stupid"
2020-06-03,trump administration banning chinese airlines from operating incoming flights as of june 16
2020-06-03,"hydroxychloroquine fails to prevent coronavirus symptoms, researchers say"
2020-06-03,nirvana's krist novoselic praises trump's 'strong and direct' speech against george floyd riots
2020-06-03,biden and trump all tied up in texas: poll
2020-06-03,violence abated
2020-06-03,warriors' steve kerr praises 'younger generation' amid george floyd protests: 'the hope that we all need'
2020-06-03,biden has edge over trump on handling race relations: poll
2020-06-03,ian prior: rod rosenstein likely to get hostile reception in senate testimony on origins of mueller probe
2020-06-03,"rnc says convention ‘will be held in another city’ after trump abandons charlotte, search underway"
2020-06-03,"trump has had no side effects from hydroxychloroquine treatment, white house doctor says"
2020-06-03,"media quiet on cuomo's threat to 'displace' de blasio, sounds totalitarian alarm on trump"
2020-06-03,ben & jerry's issues lengthy statement in response to george floyd death: 'we must dismantle white supremacy'
2020-06-03,nyc politician claims 'racism' – not protesters gathering in large groups – would be to blame for any spike in coronavirus cases
2020-06-03,"c-span caller confronts house dem over kennedy center funding, money spent on impeachment: 'what good did that do?'"
2020-06-03,gop convention site in limbo: here’s where party could go
2020-06-03,"lizzo, john legend, jane fonda and more celebs sign 'open demand' letter to defund the police"
2020-06-03,"montana lawmaker who bodyslammed reporter wins gop gubernatorial primary, as biden all but secures nomination"
2020-06-03,sacramento kings announcer grant napear out following 'all lives matter' tweet
2020-06-03,"cnn did not mention on-air david dorn, retired st. louis police captain killed by looters"
2020-06-04,"controversial covid-19 papers retracted from the lancet, new england medical journal amid backlash"
2020-06-04,mainstream media avoids on-air coverage of rod rosenstein hearing after years of pushing russia collusion
2020-06-04,controversial hydroxychloroquine research under scrutiny as experts raise 'serious scientific questions'
2020-06-04,culture war escalates as trump says media glorify rioters
2020-06-04,"today on fox news: june 4, 2020"
2020-06-04,herschel walker: 'it’s time for us to come together'
2020-06-04,dental clinic owner says minneapolis police couldn't respond while vandals destroyed his business
2020-06-04,"trump expected to sign executive order to waive environmental reviews, expedite permitting for infrastructure projects"
2020-06-04,cdc boss apologizes for 'inadequate' race-based coronavirus data
2020-06-04,doug schoen: george floyd unrest — only this can save dems from defeat in 2020
2020-06-04,jim jordan: rod rosenstein 'caved' to pressure from politicians and the media
2020-06-04,nyc councilman suggests president should revoke benefits of people arrested for looting
2020-06-04,vegas chamber of commerce chief says reopened casinos will be 'a different kind of vegas'
2020-06-04,karol markowicz: remember covid-19? businesses still can't open while massive crowds gather
2020-06-04,china to allow more foreign flights following us decision to ban chinese airlines
2020-06-04,retired milwaukee police chief's 2014 viral video spreads online again amid george floyd unrest
2020-06-04,cdc director: george floyd protests could be coronavirus 'seeding event'
2020-06-04,terribly shallow
2020-06-04,ingraham blasts left-wing activists: floyd's 'tragedy is their excuse'
2020-06-04,gov. desantis believes florida will be able to host republican national convention in a 'safe way'
2020-06-05,president trump ridicules green new deal as 'baby talk' that 'would kill our country'
2020-06-05,msnbc hires controversial ex-fbi lawyer lisa page as legal analyst
2020-06-05,cnn skips trump's live remarks on surprisingly good labor market report
2020-06-05,new hires in may dent sky-high jobless rate
2020-06-05,trump criticizes saints' drew brees after apologizing for stance on kneeling during the national anthem
2020-06-05,mark cuban says he hired pollster to help him consider white house run
2020-06-05,us soccer star michael bradley slams trump in wake of protests: 'there isn't a moral bone in his body'
2020-06-05,"network newscasts skip major hydroxychloroquine report retractions, org says"
2020-06-05,lawsuits pile up in wake of nationwide unrest over george floyd death
2020-06-05,florida sees spike in coronavirus cases while approaching new reopening phase
2020-06-05,"today on fox news: june 5, 2020"
2020-06-05,jose canseco for president? ex-mlb star says he would 'eliminate racism' as leader
2020-06-05,exclusive: tulsi gabbard pushing for va reform with new burn pit legislation
2020-06-05,mainstream media falsely frames trump's 'great day' george floyd remarks on jobs report instead of equality under law
2020-06-05,navy vet michael white back in us after release from iran detention
2020-06-05,tucker carlson: the riots are not about george floyd or racial justice. they're about trump and seizing power
2020-06-05,"nypd cracks down on mayhem, curfew defiance as george floyd vigils across us draw thousands"
2020-06-05,"'orgy of violence': ami horowitz talks to minneapolis protesters who support looting, killing cops"
2020-06-05,rnc broadens search for city to host convention celebration
2020-06-05,maloney challenger's campaign fundraising email: 'f&$# the police.'
2020-06-06,labor secretary scalia: all signs point to 'strong and safe' economic recovery after coronavirus
2020-06-06,"cnn, msnbc completely avoid biden's claim that '10 to 15 percent' of americans are 'just not very good people'"
2020-06-06,"andy puzder: falling jobless rate shows economy is recovering from coronavirus closures, as trump predicted"
2020-06-06,saints players praise drew brees for response to trump's criticism: 'apology is a form of true leadership'
2020-06-06,la galaxy 'part ways' with aleksandar katai after wife's 'racist and violent' social media posts
2020-06-06,"richard fowler: after george floyd death, trump divides americans instead of uniting us against racism"
2020-06-06,arnon mishkin: one crisis too many — will the riots be trump's undoing?
2020-06-06,steelers' alejandro villanueva blames media for drew brees fallout: 'unbelievably divisive right now'
2020-06-06,"cuomo, under fire for coronavirus response, declares new york 'crushed' the curve"
2020-06-06,warriors' steve kerr says trump is 'drawing the battle lines for the election' amid george floyd protests
2020-06-07,robert jeffress: coronavirus recovery — time for churches to reopen. here's how we're proceeding
2020-06-07,gopers on capitol hill aren't wavering in support of trump despite criticism
2020-06-07,nyc cultural workers call to slash funding for police amid george floyd anger
2020-06-07,"drew brees' wife, brittany, apologizes: 'we are the problem'"
2020-06-07,adriana cohen: coronavirus 'shelter-in-place' orders -- did they suddenly vanish?
2020-06-07,"victor davis hanson: us is in turmoil, europe is weak and china is now on the move — without apologies"
2020-06-07,"tropical storm cristobal spawns damaging tornado in orlando; louisiana brothers, 8 and 10, killed in rip current"
2020-06-07,peter navarro: china has exploited coronavirus pandemic to advance its strategic interests – here’s how
2020-06-08,pro-biden pac aims to weaken trump with seniors in key battlegrounds
2020-06-08,sally pipes: coronavirus lockdown — how many harmed by disruption to routine medical care?
2020-06-08,"trump shrugs off colin powell’s support for biden, brings up wmd un speech"
2020-06-08,steve hilton: trump's gains with african-americans will be lost if he does not lead on police reform
2020-06-08,spurs' gregg popovich 'embarrassed as a white person' over death of george floyd
2020-06-08,justin haskins: this biden team member's multi-trillion-dollar jobs plan a bad deal for us
2020-06-08,mike tyson posts photo of himself kneeling amid george floyd anger
