date,score
2020-05-26,0.5
2020-05-27,0.5
2020-05-28,0.5
2020-05-29,0.5
2020-05-30,0.5
2020-05-31,0.5
2020-06-01,0.5
2020-06-02,0.5
2020-06-03,0.5
2020-06-04,2.0
2020-06-05,0.5
2020-06-06,2.0
2020-06-07,2.0
2020-06-08,0.5
2020-06-09,0.5
2020-06-10,0.5
2020-06-11,2.0
2020-06-12,2.0
2020-06-12,1.0
2020-06-13,2.0
2020-06-14,0.5
2020-06-15,0.5
2020-06-16,0.5
2020-06-17,2.0
2020-06-18,1.0
2020-06-18,1.0
2020-06-19,1.0
2020-06-19,2.0
2020-06-19,1.0
2020-06-20,2.0
2020-06-20,2.0
2020-06-21,1.0
2020-06-21,1.0
2020-06-21,1.0
2020-06-22,1.0
2020-06-22,1.0
2020-06-23,1.0
2020-06-23,2.0
2020-06-23,2.0
2020-06-23,1.0
2020-06-23,2.0
2020-06-24,0.5
2020-06-25,1.0
2020-06-25,1.0
2020-06-26,0.5
2020-06-27,1.0
