date,text
2020-06-03,analysis: why joe biden will almost certainly pick a black woman as vp
2020-06-03,incumbents usually are penalized in times of unrest
2020-06-03,rosenstein will face off with senate gop over russia probe
2020-06-03,fact-checking the rosenstein hearing about the russia probe
2020-06-03,biden campaign turns speech on nation's unrest into battleground digital ad
2020-06-03,a heavily armed extremist movement is gaining traction in the us
2020-06-03,trump launches defensive twitter spree as america grieves
2020-06-04,the senate is slipping from republicans
2020-06-04,trump meets with top campaign aides as reelection fears rise
2020-06-04,senate gop to grant subpoena power to chairmen for probes into fbi russia investigation
2020-06-04,the top 10 women joe biden might pick as vice president
2020-06-04,why trump's 'law and order' rhetoric may not be as effective as it was for nixon and reagan
2020-06-04,biden is running as the mensch-in-chief
2020-06-04,how amy klobuchar is trying to save her rapidly dwindling vp chances
2020-06-04,trump's foundation starts to crack
2020-06-05,analysis: trump has walled himself off from america's conversation on racism
2020-06-05,cnn poll of polls finds biden leading trump
2020-06-06,george floyd's brother to testify before congress
2020-06-06,why protesting isn't enough
2020-06-06,silent majorities are a misnomer
2020-06-06,joe biden wins enough delegates to secure democratic nomination
2020-06-06,flash bangs and fury: behind the fortress walls in a defining week for trump and the country
2020-06-06,trump may shoot himself in the foot with a split-city gop convention
2020-06-07,colin powell says he will vote for joe biden for president
2020-06-07,white house is considering a trump speech to the nation on race and unity
2020-06-07,trump's most self-defeating move
2020-06-07,joe biden hits a milestone hillary clinton never did: 50%
2020-06-07,joe biden to meet monday with george floyd's family
2020-06-07,if only trump would say these words
2020-06-07,trump's use of unidentified security forces echoes putin's 'little green men'
2020-06-07,watch and read: colin powell criticizes trump's response to protests in 'state of the union' interview
2020-06-07,top trump officials claim there's no systemic racism in us law enforcement agencies as americans flood streets in protest
2020-06-08,biden embraces healer-in-chief role in return to campaign trail
2020-06-08,cnn poll: trump losing ground to biden amid chaotic week
2020-06-08,"biden doesn't support defunding police, campaign says"
2020-06-08,houston expects thousands of mourners at george floyd visitation today
2020-06-09,2020 primaries: 4 things to watch in tuesday's down-ballot races
2020-06-09,trump brings back 2016 campaign veterans
2020-06-09,opinion: trump's tweet on injured 75-year-old shows there's no bottom
2020-06-09,biden campaign ramps up facebook ad spending
2020-06-09,george floyd protests have made police reform the consensus position
2020-06-09,the demand for police reform grows as officials take stances on defunding agencies
2020-06-10,capitol hill republicans watch trump's eroding standing with unease
2020-06-10,trump campaign demands cnn apologize for poll that shows biden leading
2020-06-10,can donald trump still win?
