headlines,terms,dates
trump administration banning chinese airlines from operating incoming flights as of june 16,trump,2020-06-03
"zuckerberg defiant in tense session with employees over trump posts, report says",trump,2020-06-03
"trump expected to sign executive order to waive environmental reviews, expedite permitting for infrastructure projects",trump,2020-06-04
culture war escalates as trump says media glorify rioters,trump,2020-06-04
"gen. john allen, anti-isis envoy under obama, rips trump in foreign policy op-ed",trump,2020-06-04
president trump ridicules green new deal as 'baby talk' that 'would kill our country',trump,2020-06-05
"biden rips trump ‘crowing’ over jobs report, calls president’s remarks on floyd ‘despicable’",trump,2020-06-05
gopers on capitol hill aren't wavering in support of trump despite criticism,trump,2020-06-07
john sununu on new polls favoring biden: trump's rhetoric getting him into 'real trouble',trump,2020-06-08
tammy bruce: why the gop establishment turning against trump confirms what we suspected,trump,2020-06-08
"george p. bush, texas land commissioner and son of jeb, will vote for trump",trump,2020-06-09
joint chiefs chairman milley says it was 'mistake' to appear with trump in lafayette square,trump,2020-06-11
trump responds to milley apology for lafayette square photo op,trump,2020-06-12
attendees at trump’s rally next week must agree not to sue campaign if they get coronavirus,trump,2020-06-12
"trump campaign says 300,000 people applied for tickets to oklahoma rally",trump,2020-06-13
"gates: obama, gwb used military as a prop -- but trump administration takes those efforts to 'a new level'",trump,2020-06-14
kudlow says it's 'probably' good idea for trump supporters to wear masks to oklahoma rally,trump,2020-06-14
trump campaign rips planned parenthood endorsement of biden,trump,2020-06-15
nbc news called out over tweets about trump’s tulsa event and a 'packed' rally in brooklyn,trump,2020-06-15
trump signs executive order on policing: read the document,trump,2020-06-16
engel warns new trump appointee to fire senior officials at voa agency,trump,2020-06-17
oklahoma judge refuses to require social distancing at trump’s tulsa rally amid coronavirus concerns,trump,2020-06-17
"bolton, in book, accuses trump of ‘obstruction of justice as a way of life,’ asking china's xi for 2020 help",trump,2020-06-17
new trump appointee dismisses top leadership in shake-up of broadcasting agency,trump,2020-06-18
longtime top aide says trump risked security for personal gain,trump,2020-06-18
deroy murdock: trump campaign should make its slogan great again in tulsa,trump,2020-06-18
trump 2020 communications director says campaign must 'define' biden 'and his record of failure',trump,2020-06-19
trump looks for his way back machine in tulsa,trump,2020-06-19
ny times goes there: does donald trump want a second term?,trump,2020-06-19
trump expected to sign executive order expanding immigration restrictions,trump,2020-06-20
"trump confirms new visa restrictions coming, sounds off on protesters in fnc interview",trump,2020-06-21
warriors' steve kerr criticizes trump's ramp story during rally: 'we deserve better',trump,2020-06-22
"trump urges aoc to run against schumer, says she’d win",trump,2020-06-22
kt mcfarland: trump and bolton – this is when i knew it wasn't going to end well,trump,2020-06-22
arnon mishkin: trump the underdog – can campaign climb out of the hole he's dug?,trump,2020-06-23
trump-appointed head of media agency sued over firings at anti-censorship organization,trump,2020-06-24
trump signs executive order expanding hhs efforts to help foster children,trump,2020-06-24
the bubblicious trump campaign,trump,2020-06-25
"trump calls us 'toughest country to deal with', cites 'schumer and pelosi and people that are bad people'",trump,2020-06-26
"tucker warns trump 'could well lose' in november, says president must rediscover 'core appeal'",trump,2020-06-26
tucker carlson: trump could well lose the election - he must defend america's institutions,trump,2020-06-26
tim graham: trump vs. cuomo comedy duo — cnn's joke-shaming double standard,trump,2020-06-26
kellyanne conway shrugs off trump's slumping poll numbers: 'that doesn't surprise me at all',trump,2020-06-27
