headlines,terms,dates
trump administration banning chinese airlines from operating incoming flights as of june 16,trump,2020-06-03
nirvana's krist novoselic praises trump's 'strong and direct' speech against george floyd riots,trump,2020-06-03
biden and trump all tied up in texas: poll,trump,2020-06-03
biden has edge over trump on handling race relations: poll,trump,2020-06-03
"rnc says convention ‘will be held in another city’ after trump abandons charlotte, search underway",trump,2020-06-03
"trump has had no side effects from hydroxychloroquine treatment, white house doctor says",trump,2020-06-03
"media quiet on cuomo's threat to 'displace' de blasio, sounds totalitarian alarm on trump",trump,2020-06-03
culture war escalates as trump says media glorify rioters,trump,2020-06-04
"trump expected to sign executive order to waive environmental reviews, expedite permitting for infrastructure projects",trump,2020-06-04
president trump ridicules green new deal as 'baby talk' that 'would kill our country',trump,2020-06-05
cnn skips trump's live remarks on surprisingly good labor market report,trump,2020-06-05
trump criticizes saints' drew brees after apologizing for stance on kneeling during the national anthem,trump,2020-06-05
us soccer star michael bradley slams trump in wake of protests: 'there isn't a moral bone in his body',trump,2020-06-05
mainstream media falsely frames trump's 'great day' george floyd remarks on jobs report instead of equality under law,trump,2020-06-05
tucker carlson: the riots are not about george floyd or racial justice. they're about trump and seizing power,trump,2020-06-05
"andy puzder: falling jobless rate shows economy is recovering from coronavirus closures, as trump predicted",trump,2020-06-06
saints players praise drew brees for response to trump's criticism: 'apology is a form of true leadership',trump,2020-06-06
"richard fowler: after george floyd death, trump divides americans instead of uniting us against racism",trump,2020-06-06
arnon mishkin: one crisis too many — will the riots be trump's undoing?,trump,2020-06-06
warriors' steve kerr says trump is 'drawing the battle lines for the election' amid george floyd protests,trump,2020-06-06
gopers on capitol hill aren't wavering in support of trump despite criticism,trump,2020-06-07
pro-biden pac aims to weaken trump with seniors in key battlegrounds,trump,2020-06-08
"trump shrugs off colin powell’s support for biden, brings up wmd un speech",trump,2020-06-08
steve hilton: trump's gains with african-americans will be lost if he does not lead on police reform,trump,2020-06-08
"trump takes aim at nfl, wonders whether roger goodell will allow players to kneel for national anthem",trump,2020-06-08
trump says he wants to see policing done in a 'more gentle fashion',trump,2020-06-08
trump adviser slams 'weak statement' from biden campaign on calls to defund police,trump,2020-06-08
poll puts trump down 14 points to biden in general election showdown,trump,2020-06-08
new york times fiasco: media bring trump model to racial issues,trump,2020-06-09
"george p. bush, texas land commissioner and son of jeb, will vote for trump",trump,2020-06-09
rnc chairwoman believes trump will be holding 'full rallies' with safety precautions,trump,2020-06-09
cal thomas: trump and african-americans – these are the actions he must take now,trump,2020-06-09
"'tiger king' joe exotic says husband abandoned him, begs donald trump, cardi b and kim kardashian for help",trump,2020-06-09
spike lee compliments saints' drew brees for standing up to trump over anthem remarks: report,trump,2020-06-10
"patti lupone says 'this country is doomed' amid coronavirus crisis, reveals plans if trump wins second term",trump,2020-06-10
"us men's soccer player weston mckinnie slams trump as 'ignorant,' 'racist'",trump,2020-06-10
"alyssa milano, more stars rip trump for suggesting man shoved by buffalo police may be ‘antifa provocateur’",trump,2020-06-10
pro-trump activist scott presler travels nation to 'make america clean and great again',trump,2020-06-10
"trump campaign adviser on resurgence of maga rallies, they will be 'suitably safe' despite covid-19 concerns",trump,2020-06-10
biden ‘convinced’ us military would intervene if trump refused to leave white house - fox news,trump,2020-06-11
ivanka trump speech cancelation won’t cost wichita state president his job: report,trump,2020-06-11
trump campaign urges tv networks to cover biden events: expose his 'rambling displays of incoherence',trump,2020-06-11
"trail blazers' c.j. mccollum upset over trump's rally venue, date",trump,2020-06-11
trump administration reverses ban on controversial hunting practices at alaska's national preserves,trump,2020-06-11
"pence criticized after packed meeting with trump campaign staff, ignoring social distancing guidelines",trump,2020-06-11
john yoo: seattle unrest – does trump have the power to intervene? should he?,trump,2020-06-11
"trump rips 'radical left democrats' in seattle, urges leaders to 'take back' city from domestic terrorists",trump,2020-06-11
attendees at trump’s rally next week must agree not to sue campaign if they get coronavirus,trump,2020-06-12
trump calls for ‘new and updated’ republican party platform,trump,2020-06-12
democrats cheering 'black lives matter' protests now say trump rallies pose coronavirus risk,trump,2020-06-12
tim graham: anti-trump media coverage of president amounts to free advertising for biden,trump,2020-06-13
chris christie says trump needs to 'get out there and lead by example' by resuming campaign rallies,trump,2020-06-13
trump tells west point graduates america's institutions endure against 'passions and prejudices of the moment',trump,2020-06-13
"trump campaign says 300,000 people applied for tickets to oklahoma rally",trump,2020-06-13
"spurs' gregg popovich calls out jerry jones, robert kraft for supporting president trump",trump,2020-06-14
kudlow says it's 'probably' good idea for trump supporters to wear masks to oklahoma rally,trump,2020-06-14
politifact says cuomo's ny nursing home policy claim blaming trump admin is 'mostly false',trump,2020-06-15
trump battles health officials over indoor rally,trump,2020-06-15
trump campaign rips planned parenthood endorsement of biden,trump,2020-06-15
trump claims media trying to ‘covid shame’ over his upcoming rally,trump,2020-06-15
fifa urges 'mutual respect' in response to trump tweet on us soccer,trump,2020-06-15
nbc news called out over tweets about trump’s tulsa event and a 'packed' rally in brooklyn,trump,2020-06-15
ronna mcdaniel: interest in tulsa rally shows 'enthusiasm' for trump 'underrepresented' in polls,trump,2020-06-15
steve hilton: trump can give voters a choice - reform the police with him or abolish them with democrats,trump,2020-06-15
media speculate about trump's health after slowly walking down ramp at west point commencement,trump,2020-06-16
new ad by anti-trump gop group uses clip of president's slow walk at west point,trump,2020-06-16
"media fast-track trump’s slow walk, speculate about health",trump,2020-06-16
"'view' co-hosts clash over protests, trump rally during covid-19: 'significant difference'",trump,2020-06-16
trump signs executive order on policing: read the document,trump,2020-06-16
trump says he wants major troop reduction in germany,trump,2020-06-16
"nadler subpoenas doj whistleblowers for testimony on 'unprecedented politicization' under barr, trump",trump,2020-06-16
lara trump fires back at critics of tulsa rally: 'nobody has to attend the rally. this is a choice',trump,2020-06-16
mcenany rips media for showing 'how much they have trump derangement syndrome' by criticizing tulsa rally,trump,2020-06-16
what to know about trump’s executive order on policing,trump,2020-06-16
"mcenany defends trump police order after biden, pelosi criticism, says they 'had eight years to make changes'",trump,2020-06-16
ny times correspondent says it's 'preposterous' for trump to have constructive role for change,trump,2020-06-16
clyburn dismisses trump executive order on policing as doing 'much too little and does not go far enough',trump,2020-06-16
tim scott: dems should not 'demonize progress' for black community because they don't like trump,trump,2020-06-17
trump introduces initiative to help veterans suffering from mental health issues,trump,2020-06-17
bernie sanders blasts trump's planned rally: 'literally incomprehensible',trump,2020-06-17
pelosi knocks trump over 'ego trip' to tulsa for campaign rally as local coronavirus cases increase,trump,2020-06-17
"former bush, trump administration officials form pro-biden super pac",trump,2020-06-17
donald trump jr. mocks journalists who sounded alarm over scheduled campaign interview with father,trump,2020-06-17
"biden goes months without holding press conference, as trump team accuses ex-vp of ‘hiding in his basement’",trump,2020-06-17
biden urges trump to 'wake up' and stop waving 'the white flag' on coronavirus,trump,2020-06-17
oklahoma gop sen. lankford urges elderly to avoid tulsa trump rally,trump,2020-06-17
oklahoma judge refuses to require social distancing at trump’s tulsa rally amid coronavirus concerns,trump,2020-06-17
senate confirms controversial trump pick justin walker to important appeals court,trump,2020-06-18
"bruce springsteen jabs donald trump for handling of the coronavirus, not wearing a face mask",trump,2020-06-18
trump could see colin kaepernick back in the nfl 'if he has the ability',trump,2020-06-18
trump tells 'hannity' coronavirus is 'fading away' ahead of controversial tulsa rally,trump,2020-06-18
trump jabs roger goodell over statement in support of player protests: 'nobody was even asking for it',trump,2020-06-18
"trump claims he made juneteenth 'famous,' in defiant interview: 'nobody had ever heard of it'",trump,2020-06-18
longtime top aide says trump risked security for personal gain,trump,2020-06-18
new trump appointee dismisses top leadership in shake-up of broadcasting agency,trump,2020-06-18
media ‘gushed over images of protesters’ while trump rally sparks their coronavirus concerns: report,trump,2020-06-18
trump taps giuliani to help push for more presidential debates with biden,trump,2020-06-18
"cnn’s chris cillizza fine with speculation about trump’s health, criticized coverage of clinton’s 2016 coughing fits",trump,2020-06-19
twitter disables satirical video posted by trump to mock cnn,trump,2020-06-19
tulsa prepares for trump rally as world health organization issues warning: ‘new and dangerous phase’ in coronavirus,trump,2020-06-19
trump dismisses fauci's assessment of upcoming nfl season amid pandemic,trump,2020-06-19
trump looks for his way back machine in tulsa,trump,2020-06-19
tulsa arena asks trump campaign for written covid-19 mitigation plan ahead of rally,trump,2020-06-19
trump says surge in voting by mail his ‘biggest risk’,trump,2020-06-19
"oklahoma gov on trump rally, reopening during covid-19: 'we are going to be very safe'",trump,2020-06-19
"trump warns ‘anarchists’ not to disrupt tulsa rally, after threat prompts emergency order",trump,2020-06-19
biden's stimulus oversight questioned amid his attacks on trump coronavirus spending,trump,2020-06-19
doug schoen: biden outpolls trump among key group trump carried in 2016 – president’s mismanagement big issue,trump,2020-06-20
trump expected to sign executive order expanding immigration restrictions,trump,2020-06-20
six members of trump advance team in tulsa test positive for coronavirus,trump,2020-06-20
jessica tarlov slams trump campaign over 'reckless' tulsa rally: 'this is not the time to do it',trump,2020-06-20
national anthem at trump rally to be sung by widow of slain oklahoma labor commissioner,trump,2020-06-20
charlie hurt: trump-fauci difference over nfl outlook proves president can work through disagreements,trump,2020-06-20
trump returns to 2020 campaign trail with tulsa rally,trump,2020-06-20
"ok sen. inhofe on trump's tulsa rally: covid-19 waiver a 'good idea,' not afraid of protesters",trump,2020-06-20
"trump prepares for first campaign rally in months in tulsa amid concerns about coronavirus, violence",trump,2020-06-20
trump rips media coverage of west point ramp walk at tulsa rally,trump,2020-06-21
"earthquake strikes oklahoma after tulsa trump rally, shaking felt around state",trump,2020-06-21
eric trump on the president's tulsa rally: 'you need the spirit back in the country',trump,2020-06-21
'gutfeld' guests say trump was 'comedic genius' at tulsa rally while pence lacked 'razzmatazz',trump,2020-06-21
rep. zeldin on media backlash over crowd size of president trump's campaign rally in oklahoma,trump,2020-06-21
"trump confirms new visa restrictions coming, sounds off on protesters in fnc interview",trump,2020-06-21
"cnn, msnbc covered less than 4 minutes of trump rally despite all-day tulsa coverage, study says",trump,2020-06-22
trump campaign says fire marshal's count for tulsa rally attendance was 'wrong',trump,2020-06-22
lewandowski takes swipe at trump campaign over tulsa rally crowd size,trump,2020-06-22
dr. siegel on trump rally backlash: no different than protests 'from a purely public health point of view',trump,2020-06-22
warriors' steve kerr criticizes trump's ramp story during rally: 'we deserve better',trump,2020-06-22
"trump blasts nfl, roger goodell again at oklahoma rally",trump,2020-06-22
"mcenany spars with reporters over trump’s use of ‘kung flu,’ says he is ‘linking’ virus to 'place of origin’",trump,2020-06-22
steve hilton: why a second trump term is so important,trump,2020-06-22
joe concha: biden cannot withstand a press conference like trump's with no ground rules,trump,2020-06-22
"president trump takes on opponents, courts controversy during tulsa rally",trump,2020-06-22
henry winkler seemingly mocks president trump with water-drinking video,trump,2020-06-22
trump rally gives fox news largest saturday night audience in its history,trump,2020-06-22
