headlines,terms,dates
"fox news poll: biden-trump tossup in ohio, 82 percent approve of dewine",trump,2020-06-03
"trump demands cuomo, de blasio call in federal reinforcements; nyc, nation survive calmer night of george floyd protests",trump,2020-06-03
"gen. john allen, anti-isis envoy under obama, rips trump in foreign policy op-ed",trump,2020-06-04
david limbaugh: is there anything trump's haters won't blame on him?,trump,2020-06-06
steve hilton: trump's gains with african-americans will be lost if he does not lead on police reform,trump,2020-06-08
new york times fiasco: media bring trump model to racial issues,trump,2020-06-09
snoop dogg addresses trump supporters: 'f--k you',trump,2020-06-11
north korea marks 2-year anniversary of trump-kim summit by vowing to build up military,trump,2020-06-12
trump calls bolton's memoir 'highly inappropriate' as wh readies legal action to stop publication,trump,2020-06-15
"solicitor general noel francisco, who has argued many trump positions before supreme court, leaving doj",trump,2020-06-17
tom homan: trump’s police reforms will help prevent misconduct by bad cops without endangering public safety,trump,2020-06-17
ahmaud arbery's mother says trump was 'very compassionate' during white house meeting,trump,2020-06-17
"biden goes months without holding press conference, as trump team accuses ex-vp of ‘hiding in his basement’",trump,2020-06-17
supreme court rejects trump bid to end daca protections,trump,2020-06-18
trump decries supreme court decisions as ‘shotgun blasts into the face’ of conservatives,trump,2020-06-18
"trump calls for ‘new justices’ on supreme court, as conservatives rage at roberts",trump,2020-06-18
longtime top aide says trump risked security for personal gain,trump,2020-06-18
thomas calls ruling blocking trump move to rescind daca a 'timid' effort to avoid 'controversial' decision,trump,2020-06-18
judge napolitano reacts to daca ruling: trump admin failed to follow rules,trump,2020-06-18
"daca recipient says trump should invite dreamers to work with him, change narrative about deportations",trump,2020-06-19
"geraldo rivera: dems stabbed trump in back on daca, immigration talks",trump,2020-06-19
"trump says administration submitting new files on daca, in bid to restart process",trump,2020-06-19
lindsey graham 'stunned' at scotus decision on dreamers: i didn't think trump admin could lose,trump,2020-06-19
trump calls for 'new justices' after supreme court ruling on daca as conservatives take aim at roberts,trump,2020-06-19
trump expected to sign executive order expanding immigration restrictions,trump,2020-06-20
sen. tom cotton slams justice roberts on daca decision for applying 'different standards' to obama and trump,trump,2020-06-20
"trump confirms new visa restrictions coming, sounds off on protesters in fnc interview",trump,2020-06-21
"trump to sign order expanding immigration restrictions to include h-1b, other guest worker programs",trump,2020-06-22
trump visiting arizona to mark milestone of 200 miles of border wall construction,trump,2020-06-22
"dreamer, trump supporter defends white house's bid to end daca in favor of broader reform",trump,2020-06-22
steve hilton: why a second trump term is so important,trump,2020-06-22
"trump urges aoc to run against schumer, says she’d win",trump,2020-06-22
trump's steel tariffs stand after supreme court declines challenge,trump,2020-06-22
trump administration announces rule limiting asylum seekers’ ability to gain work permits,trump,2020-06-23
"trump tours wall as construction hits 200-mile mark, says southern border has 'never been more secure'",trump,2020-06-23
"eric roberts criticizes trump, supporters for attending oklahoma rally amid the coronavirus pandemic",trump,2020-06-23
trump announces he'll issue executive order to 'make the cities guard their monuments',trump,2020-06-23
"madison cawthorn, 24-year-old who won gop primary in nc, says trump congratulated him on 'beautiful' win",trump,2020-06-24
supreme court hands trump administration win on deportation powers,trump,2020-06-25
"james carafano: trump's immigration wins — despite opposition, here's how he produced real results",trump,2020-06-25
fox news poll: trump and biden in close race in georgia,trump,2020-06-25
"fox news poll: north carolina voters split over trump, republican sen. tillis",trump,2020-06-25
"fox news poll: texas tossup, biden-trump a one-point race",trump,2020-06-25
fox news poll: biden leads in florida as trump lags among seniors,trump,2020-06-25
von spakovsky & stimson: supreme court ruling on illegal immigration is a victory for trump administration,trump,2020-06-26
trump predicts coronavirus vaccine 'before the end of the year' as case count surges in parts of us,trump,2020-06-26
appeals court rules trump administration lacked authority to shift military money to wall,trump,2020-06-26
trump tweets 15 separate posters of 'persons of interest' sought in connection to andrew jackson statue vandalization,trump,2020-06-27
