,score,date
0,1,2020-05-28 23:59:59+00:00
1,1,2020-05-28 23:59:59+00:00
2,1,2020-05-28 23:59:59+00:00
3,0,2020-05-28 23:59:59+00:00
4,1,2020-05-28 23:59:59+00:00
5,2,2020-05-28 23:59:59+00:00
6,1,2020-05-28 23:59:59+00:00
7,2,2020-05-28 23:59:59+00:00
8,1,2020-05-28 23:59:59+00:00
9,1,2020-05-28 23:59:59+00:00
10,1,2020-05-28 23:59:59+00:00
11,0,2020-05-28 23:59:59+00:00
12,1,2020-05-28 23:59:59+00:00
13,2,2020-05-28 23:59:59+00:00
14,1,2020-05-28 23:59:59+00:00
15,1,2020-05-28 23:59:59+00:00
16,1,2020-05-28 23:59:59+00:00
17,1,2020-05-28 23:59:59+00:00
18,1,2020-05-28 23:59:59+00:00
19,1,2020-05-28 23:59:59+00:00
20,1,2020-05-28 23:59:59+00:00
21,0,2020-05-28 23:59:59+00:00
22,1,2020-05-28 23:59:59+00:00
23,0,2020-05-28 23:59:59+00:00
24,1,2020-05-28 23:59:59+00:00
25,1,2020-05-28 23:59:59+00:00
26,1,2020-05-28 23:59:59+00:00
27,2,2020-05-28 23:59:59+00:00
28,1,2020-05-28 23:59:59+00:00
29,1,2020-05-28 23:59:59+00:00
30,1,2020-05-28 23:59:59+00:00
31,1,2020-05-28 23:59:59+00:00
32,0,2020-05-28 23:59:59+00:00
33,1,2020-05-28 23:59:59+00:00
34,1,2020-05-28 23:59:59+00:00
35,2,2020-05-28 23:59:59+00:00
36,0,2020-05-28 23:59:58+00:00
37,1,2020-05-28 23:59:58+00:00
38,1,2020-05-28 23:59:58+00:00
39,0,2020-05-28 23:59:58+00:00
40,1,2020-05-28 23:59:58+00:00
41,2,2020-05-28 23:59:58+00:00
42,0,2020-05-28 23:59:58+00:00
43,1,2020-05-28 23:59:58+00:00
44,1,2020-05-28 23:59:58+00:00
45,1,2020-05-28 23:59:58+00:00
46,1,2020-05-28 23:59:58+00:00
47,0,2020-05-28 23:59:58+00:00
48,1,2020-05-28 23:59:58+00:00
49,1,2020-05-28 23:59:58+00:00
50,1,2020-05-28 23:59:58+00:00
51,1,2020-05-28 23:59:58+00:00
52,1,2020-05-28 23:59:58+00:00
53,1,2020-05-28 23:59:58+00:00
54,1,2020-05-28 23:59:58+00:00
55,1,2020-05-28 23:59:58+00:00
56,1,2020-05-28 23:59:58+00:00
57,1,2020-05-28 23:59:58+00:00
58,0,2020-05-28 23:59:58+00:00
59,1,2020-05-28 23:59:58+00:00
60,0,2020-05-28 23:59:58+00:00
61,1,2020-05-28 23:59:58+00:00
62,1,2020-05-28 23:59:58+00:00
63,1,2020-05-28 23:59:58+00:00
64,1,2020-05-28 23:59:58+00:00
65,1,2020-05-28 23:59:58+00:00
66,1,2020-05-28 23:59:58+00:00
67,1,2020-05-28 23:59:58+00:00
68,0,2020-05-28 23:59:58+00:00
69,1,2020-05-28 23:59:58+00:00
70,1,2020-05-28 23:59:58+00:00
71,2,2020-05-28 23:59:58+00:00
72,0,2020-05-28 23:59:57+00:00
73,0,2020-05-28 23:59:57+00:00
74,2,2020-05-28 23:59:57+00:00
75,1,2020-05-28 23:59:57+00:00
76,1,2020-05-28 23:59:57+00:00
77,0,2020-05-28 23:59:57+00:00
78,1,2020-05-28 23:59:57+00:00
79,1,2020-05-28 23:59:57+00:00
80,1,2020-05-28 23:59:57+00:00
81,1,2020-05-28 23:59:57+00:00
82,1,2020-05-28 23:59:57+00:00
83,1,2020-05-28 23:59:57+00:00
84,2,2020-05-28 23:59:57+00:00
85,1,2020-05-28 23:59:57+00:00
86,1,2020-05-28 23:59:57+00:00
87,1,2020-05-28 23:59:57+00:00
88,1,2020-05-28 23:59:57+00:00
89,1,2020-05-28 23:59:57+00:00
90,1,2020-05-28 23:59:57+00:00
91,1,2020-05-28 23:59:57+00:00
92,1,2020-05-28 23:59:57+00:00
93,2,2020-05-28 23:59:57+00:00
94,1,2020-05-28 23:59:57+00:00
95,1,2020-05-28 23:59:57+00:00
96,1,2020-05-28 23:59:57+00:00
97,2,2020-05-28 23:59:57+00:00
98,1,2020-05-28 23:59:57+00:00
99,1,2020-05-28 23:59:57+00:00
100,1,2020-05-28 23:59:57+00:00
101,1,2020-05-28 23:59:57+00:00
102,2,2020-05-28 23:59:57+00:00
103,1,2020-05-28 23:59:57+00:00
104,1,2020-05-28 23:59:57+00:00
105,1,2020-05-28 23:59:57+00:00
106,1,2020-05-28 23:59:56+00:00
107,2,2020-05-28 23:59:56+00:00
108,1,2020-05-28 23:59:56+00:00
109,0,2020-05-28 23:59:56+00:00
110,1,2020-05-28 23:59:56+00:00
