,score,date
0,1,2012-10-18 23:59:10+00:00
1,1,2012-10-18 23:50:25+00:00
2,1,2012-10-18 23:49:17+00:00
3,2,2012-10-18 23:19:34+00:00
4,2,2012-10-18 23:18:45+00:00
5,1,2012-10-18 22:52:18+00:00
6,2,2012-10-18 22:38:16+00:00
7,2,2012-10-18 22:36:21+00:00
8,2,2012-10-18 22:35:55+00:00
9,2,2012-10-18 22:34:06+00:00
10,2,2012-10-18 22:33:15+00:00
11,2,2012-10-18 22:31:58+00:00
12,2,2012-10-18 22:27:45+00:00
13,2,2012-10-18 22:27:18+00:00
14,2,2012-10-18 22:27:03+00:00
15,2,2012-10-18 22:23:36+00:00
16,2,2012-10-18 22:13:50+00:00
17,2,2012-10-18 22:05:52+00:00
18,1,2012-10-18 22:04:59+00:00
19,2,2012-10-18 21:58:35+00:00
20,2,2012-10-18 21:57:40+00:00
21,2,2012-10-18 21:55:37+00:00
22,2,2012-10-18 21:55:35+00:00
23,2,2012-10-18 21:55:27+00:00
24,2,2012-10-18 21:55:13+00:00
25,2,2012-10-18 21:54:24+00:00
26,2,2012-10-18 21:52:26+00:00
27,2,2012-10-18 21:51:52+00:00
28,2,2012-10-18 21:49:44+00:00
29,2,2012-10-18 21:48:39+00:00
30,2,2012-10-18 21:48:16+00:00
31,2,2012-10-18 21:47:39+00:00
32,2,2012-10-18 21:43:14+00:00
33,2,2012-10-18 21:43:11+00:00
34,2,2012-10-18 21:42:48+00:00
35,2,2012-10-18 21:40:45+00:00
36,2,2012-10-18 21:38:58+00:00
37,2,2012-10-18 21:38:16+00:00
38,2,2012-10-18 21:37:31+00:00
39,2,2012-10-18 21:34:04+00:00
40,1,2012-10-18 21:18:52+00:00
41,2,2012-10-18 21:06:39+00:00
42,2,2012-10-18 21:05:02+00:00
43,0,2012-10-18 21:05:02+00:00
44,0,2012-10-18 20:01:43+00:00
45,1,2012-10-18 19:55:42+00:00
46,1,2012-10-18 19:50:56+00:00
47,1,2012-10-18 19:47:14+00:00
48,2,2012-10-18 19:36:18+00:00
49,1,2012-10-18 19:31:18+00:00
50,2,2012-10-18 19:26:35+00:00
51,2,2012-10-18 19:21:49+00:00
52,1,2012-10-18 19:17:22+00:00
53,2,2012-10-18 19:15:34+00:00
54,2,2012-10-18 19:12:29+00:00
55,2,2012-10-18 19:11:13+00:00
56,1,2012-10-18 19:06:29+00:00
57,1,2012-10-18 18:52:03+00:00
58,1,2012-10-18 18:44:11+00:00
59,2,2012-10-18 18:32:49+00:00
60,0,2012-10-18 18:16:48+00:00
61,0,2012-10-18 18:16:43+00:00
62,1,2012-10-18 18:14:05+00:00
63,1,2012-10-18 18:12:45+00:00
64,1,2012-10-18 17:51:48+00:00
65,2,2012-10-18 17:45:51+00:00
66,1,2012-10-18 17:44:07+00:00
67,1,2012-10-18 17:32:32+00:00
68,1,2012-10-18 17:32:03+00:00
69,0,2012-10-18 17:28:06+00:00
70,0,2012-10-18 17:24:45+00:00
71,0,2012-10-18 17:24:19+00:00
72,2,2012-10-18 17:21:49+00:00
73,1,2012-10-18 17:21:38+00:00
74,2,2012-10-18 17:21:27+00:00
75,2,2012-10-18 17:19:44+00:00
76,2,2012-10-18 16:55:16+00:00
77,2,2012-10-18 16:44:51+00:00
78,2,2012-10-18 16:39:02+00:00
79,0,2012-10-18 16:25:19+00:00
80,1,2012-10-18 16:17:18+00:00
81,1,2012-10-18 16:17:15+00:00
82,2,2012-10-18 15:51:59+00:00
83,1,2012-10-18 15:51:21+00:00
84,1,2012-10-18 15:50:01+00:00
85,1,2012-10-18 15:46:04+00:00
86,1,2012-10-18 15:21:48+00:00
87,2,2012-10-18 15:15:37+00:00
88,2,2012-10-18 15:11:25+00:00
89,1,2012-10-18 15:07:38+00:00
90,1,2012-10-18 14:57:16+00:00
91,2,2012-10-18 14:41:20+00:00
