,score,date
0,1,2016-10-08 23:59:35+00:00
1,1,2016-10-08 23:58:32+00:00
2,2,2016-10-08 23:57:20+00:00
3,1,2016-10-08 23:56:35+00:00
4,0,2016-10-08 23:53:17+00:00
5,2,2016-10-08 23:52:54+00:00
6,1,2016-10-08 23:45:55+00:00
7,2,2016-10-08 23:45:14+00:00
8,1,2016-10-08 23:45:01+00:00
9,1,2016-10-08 23:43:44+00:00
10,1,2016-10-08 23:43:19+00:00
11,1,2016-10-08 23:40:28+00:00
12,1,2016-10-08 23:39:46+00:00
13,1,2016-10-08 23:39:26+00:00
14,1,2016-10-08 23:39:11+00:00
15,1,2016-10-08 23:38:35+00:00
16,1,2016-10-08 23:38:21+00:00
17,1,2016-10-08 23:37:20+00:00
18,1,2016-10-08 23:37:12+00:00
19,1,2016-10-08 23:36:23+00:00
20,1,2016-10-08 23:35:53+00:00
21,1,2016-10-08 23:34:16+00:00
22,1,2016-10-08 23:34:16+00:00
23,1,2016-10-08 23:34:11+00:00
24,1,2016-10-08 23:33:35+00:00
25,0,2016-10-08 23:33:24+00:00
26,1,2016-10-08 23:33:13+00:00
27,1,2016-10-08 23:32:13+00:00
28,1,2016-10-08 23:32:00+00:00
29,1,2016-10-08 23:31:19+00:00
30,1,2016-10-08 23:31:12+00:00
31,1,2016-10-08 23:30:40+00:00
32,1,2016-10-08 23:30:09+00:00
33,1,2016-10-08 23:29:04+00:00
34,1,2016-10-08 23:29:03+00:00
35,1,2016-10-08 23:28:44+00:00
36,2,2016-10-08 23:24:44+00:00
37,1,2016-10-08 23:22:57+00:00
38,1,2016-10-08 23:21:14+00:00
39,0,2016-10-08 23:19:48+00:00
40,0,2016-10-08 23:19:23+00:00
41,1,2016-10-08 22:56:03+00:00
42,1,2016-10-08 22:55:10+00:00
43,1,2016-10-08 22:54:16+00:00
44,1,2016-10-08 22:49:43+00:00
45,1,2016-10-08 22:49:11+00:00
46,1,2016-10-08 22:45:09+00:00
47,1,2016-10-08 22:42:45+00:00
48,2,2016-10-08 22:02:04+00:00
49,2,2016-10-08 21:58:37+00:00
50,1,2016-10-08 21:56:54+00:00
51,1,2016-10-08 21:54:26+00:00
52,1,2016-10-08 21:45:25+00:00
53,2,2016-10-08 21:43:43+00:00
54,1,2016-10-08 21:41:56+00:00
55,1,2016-10-08 21:39:41+00:00
56,1,2016-10-08 21:37:12+00:00
57,2,2016-10-08 21:31:54+00:00
58,1,2016-10-08 21:19:51+00:00
59,2,2016-10-08 21:15:32+00:00
60,1,2016-10-08 20:56:07+00:00
