,score,date
0,1,2020-05-28 23:46:05+00:00
1,2,2020-05-28 23:45:12+00:00
2,1,2020-05-28 23:43:41+00:00
3,1,2020-05-28 22:33:18+00:00
4,1,2020-05-28 22:30:12+00:00
5,1,2020-05-28 22:23:53+00:00
6,1,2020-05-28 21:28:24+00:00
7,1,2020-05-28 21:15:57+00:00
8,1,2020-05-28 21:03:21+00:00
9,1,2020-05-28 20:53:16+00:00
10,1,2020-05-28 20:49:12+00:00
11,1,2020-05-28 20:39:58+00:00
12,1,2020-05-28 20:38:59+00:00
13,1,2020-05-28 20:23:13+00:00
14,1,2020-05-28 20:20:30+00:00
15,2,2020-05-28 20:08:22+00:00
16,1,2020-05-28 20:07:45+00:00
17,1,2020-05-28 20:05:04+00:00
18,2,2020-05-28 19:48:51+00:00
19,2,2020-05-28 19:47:08+00:00
20,2,2020-05-28 19:46:44+00:00
21,2,2020-05-28 19:46:01+00:00
22,2,2020-05-28 18:53:55+00:00
23,2,2020-05-28 18:48:02+00:00
24,1,2020-05-28 18:18:38+00:00
25,2,2020-05-28 18:07:10+00:00
26,2,2020-05-28 17:59:46+00:00
27,2,2020-05-28 17:57:47+00:00
28,2,2020-05-28 17:57:22+00:00
29,2,2020-05-28 17:45:09+00:00
30,1,2020-05-28 17:34:05+00:00
31,1,2020-05-28 17:33:54+00:00
32,1,2020-05-28 17:10:44+00:00
33,1,2020-05-28 16:58:21+00:00
34,1,2020-05-28 16:55:35+00:00
35,0,2020-05-28 16:52:21+00:00
36,1,2020-05-28 16:31:13+00:00
37,1,2020-05-28 16:21:36+00:00
38,1,2020-05-28 16:18:14+00:00
39,1,2020-05-28 16:16:26+00:00
40,1,2020-05-28 16:12:29+00:00
41,1,2020-05-28 16:10:44+00:00
42,1,2020-05-28 15:19:42+00:00
43,2,2020-05-28 15:01:32+00:00
44,2,2020-05-28 14:56:19+00:00
45,1,2020-05-28 14:53:06+00:00
46,1,2020-05-28 14:39:06+00:00
47,0,2020-05-28 13:25:37+00:00
48,1,2020-05-28 12:58:39+00:00
49,1,2020-05-28 12:09:25+00:00
50,1,2020-05-28 12:00:58+00:00
51,1,2020-05-28 11:56:41+00:00
52,1,2020-05-28 11:38:55+00:00
53,2,2020-05-28 10:14:36+00:00
54,1,2020-05-28 07:08:54+00:00
55,2,2020-05-28 07:08:08+00:00
56,1,2020-05-28 06:11:47+00:00
57,1,2020-05-28 05:34:18+00:00
58,2,2020-05-28 04:22:57+00:00
59,2,2020-05-28 03:14:59+00:00
60,1,2020-05-28 03:02:13+00:00
61,1,2020-05-28 02:58:46+00:00
62,1,2020-05-28 02:54:16+00:00
63,0,2020-05-28 02:42:32+00:00
64,0,2020-05-28 02:40:17+00:00
65,1,2020-05-28 02:25:45+00:00
66,2,2020-05-28 02:14:27+00:00
67,1,2020-05-28 01:56:30+00:00
68,2,2020-05-28 01:48:23+00:00
69,1,2020-05-28 01:47:43+00:00
70,1,2020-05-28 01:43:16+00:00
71,1,2020-05-28 01:35:43+00:00
72,1,2020-05-28 01:20:03+00:00
73,1,2020-05-28 00:55:04+00:00
74,2,2020-05-28 00:29:47+00:00
75,1,2020-05-28 00:12:32+00:00
76,0,2020-05-29 23:13:38+00:00
77,1,2020-05-29 22:31:38+00:00
78,1,2020-05-29 22:08:46+00:00
79,1,2020-05-29 21:56:58+00:00
80,1,2020-05-29 21:32:58+00:00
81,0,2020-05-29 21:24:35+00:00
82,1,2020-05-29 21:23:09+00:00
83,2,2020-05-29 20:56:04+00:00
84,1,2020-05-29 19:56:26+00:00
85,1,2020-05-29 19:46:04+00:00
86,2,2020-05-29 19:24:16+00:00
87,2,2020-05-29 19:23:48+00:00
88,1,2020-05-29 19:15:34+00:00
89,1,2020-05-29 19:01:23+00:00
90,1,2020-05-29 18:57:57+00:00
91,1,2020-05-29 18:48:36+00:00
92,1,2020-05-29 18:42:42+00:00
93,1,2020-05-29 18:37:55+00:00
94,1,2020-05-29 18:37:32+00:00
95,1,2020-05-29 18:34:58+00:00
96,1,2020-05-29 18:30:36+00:00
97,1,2020-05-29 18:27:37+00:00
98,1,2020-05-29 18:25:29+00:00
99,1,2020-05-29 18:02:28+00:00
100,1,2020-05-29 17:54:42+00:00
101,1,2020-05-29 17:48:31+00:00
102,1,2020-05-29 17:48:03+00:00
103,1,2020-05-29 17:43:04+00:00
104,1,2020-05-29 17:26:01+00:00
105,1,2020-05-29 17:25:21+00:00
106,1,2020-05-29 17:23:11+00:00
107,1,2020-05-29 17:20:28+00:00
108,1,2020-05-29 17:17:04+00:00
109,1,2020-05-29 17:05:49+00:00
110,1,2020-05-29 17:05:35+00:00
111,1,2020-05-29 17:04:37+00:00
112,1,2020-05-29 17:03:47+00:00
113,1,2020-05-29 17:02:40+00:00
114,1,2020-05-29 16:58:24+00:00
115,1,2020-05-29 16:54:39+00:00
116,1,2020-05-29 16:54:32+00:00
117,1,2020-05-29 16:53:14+00:00
118,1,2020-05-29 16:53:08+00:00
119,1,2020-05-29 16:48:48+00:00
120,1,2020-05-29 16:46:01+00:00
121,1,2020-05-29 16:45:29+00:00
122,1,2020-05-29 16:45:02+00:00
123,1,2020-05-29 16:43:31+00:00
124,1,2020-05-29 16:43:23+00:00
125,1,2020-05-29 16:42:34+00:00
126,1,2020-05-29 16:41:55+00:00
127,2,2020-05-29 16:40:41+00:00
128,1,2020-05-29 16:38:54+00:00
129,2,2020-05-29 16:29:07+00:00
130,1,2020-05-29 15:28:06+00:00
131,1,2020-05-29 15:18:48+00:00
132,1,2020-05-29 14:58:58+00:00
133,1,2020-05-29 13:14:29+00:00
134,1,2020-05-29 13:08:12+00:00
135,1,2020-05-29 13:05:31+00:00
136,1,2020-05-29 12:27:31+00:00
137,1,2020-05-29 10:43:48+00:00
138,1,2020-05-29 09:51:12+00:00
139,1,2020-05-29 09:37:05+00:00
140,1,2020-05-29 09:35:04+00:00
141,0,2020-05-29 07:33:01+00:00
142,1,2020-05-29 07:30:30+00:00
143,1,2020-05-29 06:22:45+00:00
144,1,2020-05-29 05:46:54+00:00
145,1,2020-05-29 04:28:38+00:00
146,1,2020-05-29 04:17:18+00:00
147,1,2020-05-29 04:16:10+00:00
