,score,date
0,1,2012-10-18 23:59:06+00:00
1,1,2012-10-18 23:57:17+00:00
2,1,2012-10-18 23:56:26+00:00
3,0,2012-10-18 23:44:38+00:00
4,1,2012-10-18 23:38:55+00:00
5,1,2012-10-18 23:38:50+00:00
6,1,2012-10-18 23:26:07+00:00
7,1,2012-10-18 23:07:33+00:00
8,1,2012-10-18 23:04:13+00:00
9,1,2012-10-18 22:59:51+00:00
10,1,2012-10-18 22:58:56+00:00
11,1,2012-10-18 22:57:51+00:00
12,0,2012-10-18 22:56:46+00:00
13,2,2012-10-18 22:54:58+00:00
14,1,2012-10-18 22:41:57+00:00
15,1,2012-10-18 22:41:32+00:00
16,0,2012-10-18 22:41:12+00:00
17,1,2012-10-18 22:38:23+00:00
18,1,2012-10-18 22:35:08+00:00
19,1,2012-10-18 22:34:24+00:00
20,1,2012-10-18 22:34:22+00:00
21,0,2012-10-18 22:32:17+00:00
22,1,2012-10-18 22:31:55+00:00
23,1,2012-10-18 22:27:56+00:00
24,0,2012-10-18 22:17:40+00:00
25,1,2012-10-18 22:04:41+00:00
26,1,2012-10-18 22:03:43+00:00
27,1,2012-10-18 22:03:00+00:00
28,1,2012-10-18 22:01:32+00:00
29,1,2012-10-18 22:00:58+00:00
30,1,2012-10-18 22:00:53+00:00
31,1,2012-10-18 22:00:17+00:00
32,0,2012-10-18 22:00:13+00:00
33,1,2012-10-18 21:58:34+00:00
34,1,2012-10-18 21:55:02+00:00
35,1,2012-10-18 21:54:14+00:00
36,2,2012-10-18 21:48:27+00:00
37,1,2012-10-18 21:48:24+00:00
38,1,2012-10-18 21:48:18+00:00
39,1,2012-10-18 21:38:34+00:00
40,1,2012-10-18 21:37:44+00:00
41,1,2012-10-18 21:30:12+00:00
42,0,2012-10-18 21:29:04+00:00
43,0,2012-10-18 21:29:00+00:00
44,0,2012-10-18 21:28:13+00:00
45,1,2012-10-18 21:26:44+00:00
46,1,2012-10-18 21:25:25+00:00
47,2,2012-10-18 21:20:36+00:00
48,1,2012-10-18 21:14:01+00:00
49,1,2012-10-18 21:06:10+00:00
50,1,2012-10-18 20:59:56+00:00
51,1,2012-10-18 20:58:26+00:00
52,2,2012-10-18 20:57:04+00:00
53,1,2012-10-18 20:56:23+00:00
54,1,2012-10-18 20:45:39+00:00
55,1,2012-10-18 20:45:12+00:00
56,1,2012-10-18 20:42:12+00:00
57,1,2012-10-18 20:40:01+00:00
58,1,2012-10-18 20:38:53+00:00
59,1,2012-10-18 20:38:14+00:00
60,1,2012-10-18 20:37:13+00:00
61,1,2012-10-18 20:36:46+00:00
62,0,2012-10-18 20:35:09+00:00
63,1,2012-10-18 20:33:08+00:00
64,0,2012-10-18 20:27:35+00:00
65,0,2012-10-18 20:26:51+00:00
66,0,2012-10-18 20:26:17+00:00
67,1,2012-10-18 20:26:01+00:00
68,0,2012-10-18 20:24:12+00:00
69,1,2012-10-18 20:21:58+00:00
70,1,2012-10-18 20:21:36+00:00
71,2,2012-10-18 20:21:00+00:00
72,0,2012-10-18 20:19:50+00:00
73,1,2012-10-18 20:18:32+00:00
74,1,2012-10-18 20:13:59+00:00
75,1,2012-10-18 20:13:19+00:00
76,1,2012-10-18 20:12:35+00:00
77,0,2012-10-18 20:06:55+00:00
78,1,2012-10-18 20:05:44+00:00
79,0,2012-10-18 20:05:15+00:00
80,0,2012-10-18 20:04:20+00:00
81,0,2012-10-18 20:04:18+00:00
82,0,2012-10-18 20:03:51+00:00
83,2,2012-10-18 20:03:09+00:00
84,0,2012-10-18 20:02:42+00:00
85,0,2012-10-18 20:02:03+00:00
86,0,2012-10-18 20:01:58+00:00
87,0,2012-10-18 20:01:41+00:00
88,1,2012-10-18 20:01:27+00:00
89,1,2012-10-18 20:00:34+00:00
90,1,2012-10-18 19:56:46+00:00
91,1,2012-10-18 19:54:03+00:00
92,1,2012-10-18 19:50:51+00:00
93,1,2012-10-18 19:48:58+00:00
94,0,2012-10-18 19:48:12+00:00
95,0,2012-10-18 19:41:23+00:00
96,2,2012-10-18 19:41:18+00:00
97,0,2012-10-18 19:41:16+00:00
98,2,2012-10-18 19:39:49+00:00
99,0,2012-10-18 19:36:35+00:00
100,1,2012-10-18 19:35:39+00:00
101,1,2012-10-18 19:30:41+00:00
102,1,2012-10-18 19:23:24+00:00
103,1,2012-10-18 19:22:41+00:00
104,1,2012-10-18 19:22:07+00:00
105,0,2012-10-18 19:21:24+00:00
106,0,2012-10-18 19:08:40+00:00
107,1,2012-10-18 19:05:36+00:00
108,1,2012-10-18 18:52:15+00:00
109,0,2012-10-18 18:48:30+00:00
110,1,2012-10-18 18:47:22+00:00
111,1,2012-10-18 18:45:25+00:00
112,0,2012-10-18 18:36:06+00:00
113,0,2012-10-18 18:33:58+00:00
114,1,2012-10-18 18:17:03+00:00
115,1,2012-10-18 18:13:50+00:00
116,0,2012-10-18 18:08:54+00:00
117,0,2012-10-18 18:07:54+00:00
118,0,2012-10-18 18:06:29+00:00
119,1,2012-10-18 18:05:24+00:00
120,0,2012-10-18 18:03:57+00:00
121,1,2012-10-18 18:01:01+00:00
122,1,2012-10-18 18:00:51+00:00
123,0,2012-10-18 17:59:18+00:00
124,0,2012-10-18 17:57:46+00:00
125,0,2012-10-18 17:57:29+00:00
126,1,2012-10-18 17:50:11+00:00
127,0,2012-10-18 17:46:15+00:00
128,2,2012-10-18 17:42:18+00:00
129,0,2012-10-18 17:36:53+00:00
130,1,2012-10-18 17:33:49+00:00
